generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0793727,0.001,0.0360529,0
500000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0167141,0.00298853,0.00687199,0
500000,Ranodon_sibiricus,Hynobius_retardatus,180.532,0.11931,-0.00554858,0.0109656,0
500000,Ambystoma_gracile,Ambystoma_opacum,178.889,0.147744,-0.00638308,0.0573339,0
500000,Mertensiella_caucasica,Pleurodeles_waltl,142.863,0.11127,-0.00656068,0.0220997,0
500000,Necturus_lewisi,Necturus_punctatus,177.342,0.157534,-0.00171525,0.0991752,0
500000,Plethodon_yonahlossee,Plethodon_petraeus,192.998,0.195089,-0.00424024,0.00456995,0
500000,Urspelerpes_brucei,Eurycea_spelaea,156.999,0.181507,-0.00301713,0.148862,0
500000,Parvimolge_townsendi,Bolitoglossa_cerroensis,153.248,0.0937439,-0.00321461,0.00050471,0
500000,Ensatina_eschscholtzii,Hemidactylium_scutatum,87.6302,0.0691945,-0.00149993,0.0109819,0
1000000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0103866,0.00217681,0.00641829,0
1000000,Salamandrella_keyserlingii,Ranodon_sibiricus,140.29,0.071493,0.00669099,0.0297608,0
1000000,Dicamptodon_tenebrosus,Ambystoma_talpoideum,96.8388,0.105403,0.00386896,0.0910536,0
1000000,Salamandrina_perspicillata,Mertensiella_caucasica,85.2293,0.0492364,0.00740849,0.0157273,0
1000000,Necturus_lewisi,Necturus_punctatus,146.606,0.174129,-0.00441523,0.127567,0
1000000,Plethodon_shermani,Plethodon_mississippi,201.055,0.220523,-0.00136216,0.00245506,0
1000000,Plethodon_caddoensis,Plethodon_jordani,196.945,0.1912,0.00881477,0.0457316,0
1000000,Eurycea_rathbuni,Eurycea_troglodytes,195.994,0.344373,-0.00843275,0.148632,0
1000000,Eurycea_chamberlaini,Eurycea_quadridigitata,180.202,0.128463,-0.00263128,0.0841667,0
1000000,Parvimolge_townsendi,Bolitoglossa_cerroensis,147.414,0.10172,-0.00563782,0.00844996,0
1000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,94.5065,0.0798167,-0.00611992,0.00318798,0
1500000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0157251,0.00289332,0.018723,0
1500000,Salamandrella_keyserlingii,Ranodon_sibiricus,167.767,0.0930853,0.00290883,0.00287603,0
1500000,Ambystoma_talpoideum,Ambystoma_gracile,157.426,0.0528061,0.0092273,0.00974342,0
1500000,Salamandra_infraimmaculata,Lyciasalamandra_atifi,163.945,0.100432,-0.000829876,0.0116306,0
1500000,Mertensiella_caucasica,Pleurodeles_waltl,135.78,0.0591177,0.00208324,0.00837864,0
1500000,Plethodon_yonahlossee,Plethodon_petraeus,194.269,0.165938,0.000927114,0.00665857,0
1500000,Eurycea_rathbuni,Eurycea_troglodytes,197.949,0.418901,-0.00639645,0.0969977,0
