generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.237299,-1892.43,200,0
500000,8,47.7185,-1818.85,7.19255,0.413
1000000,10,54.7979,-1827.99,9.09374,0.386
1500000,7,42.9541,-1830.38,4.28709,0.425
2000000,8,53.9645,-1833.12,6.21637,0.41
2500000,7,41.6307,-1828.12,3.96376,0.393
3000000,12,63.9767,-1815.78,22.7143,0.415
3500000,7,42.377,-1825.62,6.38202,0.386
4000000,12,63.237,-1826.11,14.0576,0.395
4500000,9,51.3504,-1815.9,7.59673,0.373
5000000,8,47.5839,-1844.42,5.2523,0.409
5500000,7,37.2861,-1829.47,8.30596,0.394444
6000000,9,54.4715,-1822.59,13.6942,0.38
6500000,8,48.584,-1824.51,7.84794,0.412
7000000,9,51.5631,-1824.65,14.6406,0.399
7500000,11,62.6011,-1822.86,5.00592,0.399
8000000,7,40.0982,-1823.67,5.32883,0.404667
8500000,8,38.6518,-1810.97,10.8509,0.392333
9000000,7,42.0121,-1828.52,15.5512,0.406
9500000,7,38.5146,-1828.25,12.932,0.382
10000000,11,63.6976,-1823.23,13.44,0.415
10500000,9,52.865,-1816.6,5.65428,0.398
11000000,9,48.8529,-1818.08,12.8283,0.368
11500000,10,55.0397,-1809.2,10.5304,0.395
12000000,8,46.693,-1822.42,5.63369,0.409
12500000,8,46.127,-1816.9,5.13249,0.351
13000000,9,47.2371,-1821.06,10.6223,0.395
13500000,8,47.6591,-1815.66,10.7846,0.413
14000000,11,50.4118,-1812.48,8.74103,0.406
14500000,10,60.5762,-1825.09,6.47397,0.418
15000000,12,72.522,-1824.99,15.5927,0.412
15500000,10,49.5354,-1817.76,13.5553,0.3755
16000000,9,50.5031,-1829.2,17.7968,0.410333
16500000,8,47.9937,-1817.72,12.9888,0.405
17000000,8,51.0927,-1825.46,5.76945,0.4335
17500000,7,39.9851,-1815.33,4.38589,0.392
18000000,9,45.2234,-1823.15,7.18257,0.416
18500000,12,65.6364,-1806.18,13.9007,0.399
19000000,12,70.639,-1824.76,12.342,0.401
19500000,6,39.0279,-1831.02,10.169,0.3975
20000000,8,46.1163,-1820.88,12.122,0.385
20500000,8,46.0189,-1824.59,11.4408,0.399
21000000,9,52.9058,-1810.49,9.18993,0.396
21500000,10,58.0125,-1822.23,9.11822,0.415
22000000,8,46.962,-1820.27,8.04665,0.393
22500000,7,41.144,-1830.85,11.1554,0.409375
23000000,8,37.8311,-1826.85,13.4114,0.392571
23500000,11,64.8267,-1820.34,12.5984,0.367
24000000,6,35.1209,-1821.09,5.4113,0.394
24500000,8,41.7748,-1821.87,9.67235,0.411333
25000000,9,57.4724,-1828.37,17.5081,0.342
25500000,7,34.5467,-1821.2,5.03968,0.4005
26000000,10,54.8463,-1818.44,9.23417,0.3675
26500000,8,38.6209,-1824.22,10.743,0.398
27000000,6,34.9125,-1828.24,4.41664,0.406
27500000,7,37.2906,-1829.02,7.91785,0.398
28000000,11,61.1372,-1812.24,9.30946,0.4295
28500000,8,42.5134,-1812.44,7.90818,0.427
29000000,8,46.8234,-1827.79,7.6051,0.391
29500000,7,39.256,-1827.98,4.68124,0.385333
30000000,9,42.8309,-1822.86,11.0385,0.3635
30500000,5,25.9333,-1837.18,3.2831,0.4275
31000000,9,46.8565,-1819.18,10.5468,0.396
31500000,10,62.9958,-1822.72,11.8365,0.3875
32000000,7,36.604,-1822.29,7.42633,0.3625
32500000,7,42.7138,-1819.7,6.93821,0.404
33000000,9,55.2256,-1833.88,5.72855,0.423
33500000,7,35.8693,-1826.69,4.87356,0.4115
34000000,12,67.5467,-1832,7.60701,0.413
34500000,7,42.392,-1826.85,11.4068,0.3935
35000000,6,38.3184,-1837.09,5.20739,0.386333
35500000,8,48.494,-1831.5,6.74088,0.396
36000000,4,26.838,-1838.53,3.0997,0.378
36500000,5,32.7722,-1833.25,3.75292,0.403571
37000000,10,61.128,-1815.73,9.88022,0.425
37500000,14,78.3132,-1812.98,6.77295,0.416
38000000,9,48.9928,-1819.35,5.38685,0.387
38500000,8,44.4774,-1820.2,12.9936,0.388833
39000000,10,61.9497,-1823.37,13.3304,0.398
39500000,12,66.474,-1813.99,16.3071,0.416
40000000,6,32.2418,-1828.73,5.55839,0.3985
40500000,11,58.959,-1826.97,10.1266,0.374
41000000,7,40.7031,-1839.47,7.27347,0.391
41500000,10,57.8534,-1818.96,19.1689,0.403
42000000,8,45.9149,-1821.19,8.4786,0.391
42500000,11,63.6784,-1824.04,14.8792,0.405667
43000000,10,59.882,-1821.82,15.5073,0.426
43500000,8,41.8705,-1814.64,10.8245,0.393
44000000,10,55.7895,-1818.32,9.23377,0.394
44500000,8,48.4623,-1829.37,11.6812,0.401
45000000,8,44.3879,-1827.41,7.75118,0.3908
45500000,8,47.8971,-1825.01,13.6618,0.405
46000000,8,40.1012,-1826.94,13.8423,0.4
46500000,6,37.2084,-1823.31,5.46341,0.397
47000000,8,45.9162,-1827.59,10.0325,0.4
47500000,12,68.5429,-1817.52,9.60924,0.399
48000000,10,58.1826,-1813.48,11.9288,0.385
48500000,9,48.5814,-1816.1,4.83868,0.415
49000000,6,33.7944,-1826.8,11.4313,0.4028
49500000,9,50.3133,-1822.12,3.70217,0.395
50000000,10,56.7075,-1820.88,11.9833,0.4205
50500000,6,31.5126,-1822.55,6.50088,0.37
51000000,10,57.1429,-1823.03,4.65035,0.412
51500000,6,36.5108,-1832.83,7.97313,0.3954
52000000,13,69.9191,-1813.29,20.6173,0.428
52500000,7,42.1511,-1832.83,3.86099,0.391
53000000,7,39.8597,-1822.01,6.16784,0.411143
53500000,11,66.1465,-1826.52,14.3914,0.404
54000000,11,60.1652,-1832.33,17.5796,0.391
54500000,6,34.4978,-1829.51,9.36373,0.408
55000000,5,30.2898,-1834.84,3.27193,0.406714
55500000,10,55.9612,-1819.12,11.6475,0.421
56000000,7,41.7269,-1829.79,8.53869,0.407421
56500000,8,46.5317,-1812.96,7.68117,0.411
57000000,6,37.7847,-1824.92,5.71013,0.418
57500000,11,64.4256,-1820.56,14.0361,0.41
58000000,9,49.22,-1829.12,10.9734,0.392
58500000,8,47.1034,-1828.44,4.81586,0.388
59000000,10,58.8719,-1820.61,16.0509,0.397
59500000,8,41.0902,-1818.23,6.30181,0.367
60000000,10,59.3954,-1818.64,14.1111,0.410917
60500000,7,39.0853,-1815.3,5.53361,0.354
61000000,7,42.8306,-1830.54,5.76237,0.413
61500000,6,33.9949,-1826.79,11.796,0.401667
62000000,4,26.5222,-1842.86,6.25163,0.401
62500000,10,54.2801,-1822.37,7.22708,0.399
63000000,6,36.7756,-1831.12,6.47915,0.45
63500000,11,61.1818,-1832.33,7.68824,0.424
64000000,7,42.138,-1830.57,3.76719,0.425
64500000,8,49.9818,-1830.08,6.09815,0.406296
65000000,10,63.176,-1823.93,8.98388,0.444
65500000,6,34.7024,-1824.68,3.20406,0.3945
66000000,12,61.7147,-1813.34,10.9696,0.424
66500000,6,33.8152,-1830.8,12.534,0.4038
67000000,5,33.0134,-1837.2,4.20301,0.403333
67500000,6,36.5913,-1829.46,7.59666,0.373
68000000,7,41.9311,-1825.55,11.3939,0.376
68500000,7,38.6298,-1823.28,9.61438,0.4255
69000000,6,35.5285,-1822.16,4.66295,0.402
69500000,8,41.6072,-1810.12,4.92575,0.383
70000000,7,38.9303,-1828.81,8.34485,0.3935
70500000,6,35.6333,-1819.51,4.09983,0.383
71000000,10,62.0152,-1819.25,9.78684,0.426
71500000,14,78.5539,-1821.1,17.0415,0.412
72000000,9,56.6878,-1820.59,12.8601,0.41
72500000,10,63.3147,-1824.1,7.23111,0.415
73000000,7,34.4181,-1825.47,6.81674,0.389
73500000,8,43.126,-1825.15,6.63021,0.385
74000000,14,84.0396,-1825.32,16.4311,0.411
74500000,10,51.5807,-1820.44,12.9849,0.418
75000000,13,72.2323,-1827.44,22.2754,0.393
75500000,9,45.7904,-1817.17,9.61627,0.411
76000000,11,68.7357,-1814.47,10.2027,0.393
76500000,6,35.9092,-1825,2.93021,0.399
77000000,11,65.4585,-1820.25,16.6562,0.412
77500000,12,69.0671,-1823.91,12.4873,0.39
78000000,9,53.9626,-1815.27,6.80645,0.382
78500000,9,52.1621,-1831.99,9.36737,0.402529
79000000,11,64.7089,-1818.95,9.78746,0.397
79500000,11,69.7164,-1826.56,12.7599,0.398
80000000,8,49.85,-1826.69,9.88188,0.3885
80500000,12,68.1359,-1807.82,13.9321,0.366
81000000,7,40.189,-1827.04,3.88419,0.3974
81500000,10,56.6417,-1816.82,8.68295,0.404
82000000,9,54.3454,-1821.68,7.09982,0.431333
82500000,7,41.4356,-1822.64,2.04711,0.385
83000000,11,63.8136,-1817.06,11.5338,0.396
83500000,10,56.2783,-1810.55,10.048,0.42
84000000,9,50.7216,-1822.14,8.83032,0.378
84500000,7,36.0448,-1825.52,3.92917,0.434333
85000000,9,52.8393,-1826.27,6.50462,0.4025
85500000,9,50.3373,-1822.75,8.86338,0.364
86000000,12,65.4032,-1810.26,14.7908,0.386
86500000,9,55.7572,-1835.98,11.6152,0.3977
87000000,8,45.7243,-1820.15,9.35305,0.413
87500000,8,47.5686,-1833.02,11.1007,0.427
88000000,11,61.7286,-1812.4,10.1109,0.402
88500000,12,72.0378,-1820.35,13.7282,0.435
89000000,8,47.8092,-1813.76,10.638,0.403
89500000,7,38.7322,-1823.88,10.7474,0.42
90000000,7,37.2091,-1826.48,12.0139,0.399
90500000,6,33.4623,-1821.93,5.0226,0.364
91000000,8,39.3411,-1818.53,12.0568,0.364
91500000,9,53.0141,-1822.59,7.38964,0.432
92000000,11,64.5799,-1812.18,13.6484,0.412
92500000,6,29.9107,-1823.55,6.05396,0.4045
93000000,10,58.4523,-1832.92,8.74511,0.453
93500000,6,34.1864,-1828.39,7.44719,0.412
94000000,8,45.2189,-1813.99,11.9677,0.39
94500000,9,53.6429,-1812.88,6.70087,0.406
95000000,10,55.9633,-1819.73,8.39936,0.381
95500000,9,49.4719,-1829.98,6.40374,0.424
96000000,6,35.6621,-1835.17,8.89195,0.400667
96500000,7,34.8093,-1823.8,6.54171,0.362
97000000,7,44.3833,-1832.72,9.38294,0.379286
97500000,8,42.729,-1817.82,7.88309,0.386
98000000,10,52.6693,-1821.06,10.2663,0.419
98500000,10,57.2607,-1819.33,9.11972,0.359
99000000,7,43.2226,-1826.02,8.82483,0.394
99500000,8,45.0929,-1826.08,12.9317,0.410667
100000000,9,52.5675,-1818.64,8.9969,0.414
100500000,10,54.9029,-1828.3,11.6254,0.406
101000000,10,54.5125,-1812.03,6.6516,0.422
101500000,7,42.1616,-1820.74,11.0131,0.4005
102000000,7,38.2909,-1820.92,7.22371,0.415588
102500000,12,65.3317,-1824.84,13.1397,0.432
103000000,10,57.7463,-1830.67,12.1484,0.439
103500000,9,48.6863,-1823.01,15.5989,0.3975
104000000,11,66.426,-1838.14,9.59999,0.406
104500000,9,49.8318,-1819.2,14.9357,0.387
105000000,6,35.6232,-1826.89,10.1258,0.393667
105500000,8,50.6693,-1825.67,5.28327,0.404
106000000,12,72.1093,-1826.27,15.4227,0.376
106500000,10,50.9048,-1809.35,7.12359,0.428
107000000,7,39.8031,-1821.43,8.91459,0.356
107500000,6,35.157,-1831.64,10.6809,0.416
108000000,11,67.0928,-1818.88,10.6777,0.4245
108500000,6,35.4461,-1823.47,8.24163,0.435333
109000000,9,50.225,-1829.31,9.07331,0.4025
109500000,12,69.4128,-1816.11,9.62649,0.385
110000000,11,62.5686,-1819.38,12.7176,0.398
110500000,13,66.4435,-1829.59,10.3102,0.41
111000000,7,37.7687,-1819.62,8.88198,0.4255
111500000,8,45.9344,-1819.06,4.14804,0.414
112000000,6,30.314,-1836.3,8.11628,0.3685
112500000,7,34.8532,-1815.85,7.80547,0.424
113000000,9,53.9686,-1831.2,6.44368,0.394
113500000,7,43.3745,-1826.03,5.94683,0.3845
114000000,9,44.5211,-1834.11,8.54635,0.399
114500000,6,39.4952,-1830.32,14.2325,0.4135
115000000,6,33.5163,-1825.36,7.58046,0.3987
115500000,7,44.5471,-1824.14,3.41213,0.377
116000000,12,68.9276,-1818.89,13.7701,0.403
116500000,6,33.7183,-1835.67,6.54397,0.3825
117000000,7,41.7279,-1821.95,6.94014,0.396
117500000,6,39.1879,-1834.49,9.79713,0.4225
