generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,0.689353,-8236.22,200,0.013422,0
500000,8,55.2637,-6806.25,10.9141,0.0911282,0.3302
1000000,7,41.666,-6795.85,7.07452,0.0904416,0.3535
1500000,10,61.1144,-6796.68,16.5185,0.0858313,0.333
2000000,9,58.7639,-6793.73,15.5883,0.0944119,0.332
2500000,11,70.2789,-6798.42,15.3465,0.0887087,0.34
3000000,8,47.1689,-6797.17,7.25409,0.0915022,0.299
3500000,10,63.607,-6799.57,11.6017,0.0855861,0.312
4000000,8,51.9558,-6799.31,8.60959,0.09035,0.336
4500000,6,41.5527,-6807.08,6.465,0.0916497,0.329
5000000,13,84.6208,-6797.65,15.6391,0.0939523,0.356
5500000,9,60.8219,-6802.85,10.5281,0.0864753,0.366
6000000,8,45.1496,-6799.09,11.4566,0.0923974,0.3305
6500000,14,87.2881,-6799.68,16.4124,0.0926323,0.37
7000000,8,53.4378,-6808.39,7.67217,0.0920709,0.348
7500000,8,54.6184,-6798.49,12.1179,0.0911243,0.329714
8000000,9,56.4387,-6804.56,12.8689,0.0909708,0.358
8500000,9,50.7619,-6798.28,10.237,0.0884841,0.343
9000000,7,45.1327,-6797.94,8.40827,0.0873496,0.328933
9500000,8,52.3221,-6790.19,5.53292,0.0908329,0.335
10000000,6,42.133,-6799.07,7.78497,0.0913589,0.343
10500000,7,46.4309,-6791.67,10.5671,0.0924979,0.325
11000000,9,50.6077,-6786.48,8.65206,0.0944752,0.314
11500000,7,43.4309,-6797.01,12.425,0.0952091,0.3125
12000000,9,56.4326,-6787.64,8.92414,0.0917081,0.314
12500000,9,62.0144,-6793.78,15.2531,0.095035,0.35
13000000,10,68.7217,-6798.72,7.73946,0.0915412,0.337
13500000,6,40.4485,-6811.39,4.27812,0.0898145,0.320667
14000000,7,39.5775,-6785.82,7.91474,0.0933709,0.311
14500000,9,55.9836,-6810.56,4.9588,0.0892369,0.331
15000000,6,38.4429,-6799.95,9.89797,0.0915385,0.33825
15500000,8,52.7612,-6806.41,7.22727,0.0892713,0.327
16000000,6,37.433,-6804.6,8.068,0.0925681,0.328
16500000,10,61.31,-6801.04,8.46954,0.0937883,0.338
17000000,10,65.9896,-6793.25,11.2952,0.0897258,0.36
17500000,5,34.7569,-6815.74,5.96409,0.0869654,0.3035
18000000,11,61.0438,-6798.75,11.2007,0.0956682,0.339
18500000,6,41.3368,-6799.18,14.5561,0.0931771,0.351
19000000,10,64.359,-6796.77,10.2711,0.0867495,0.368
19500000,10,66.3514,-6797.27,8.87306,0.0935864,0.351
20000000,9,58.7847,-6791.38,4.12068,0.0899759,0.365
20500000,7,45.4,-6798.5,10.1952,0.0944694,0.329
21000000,7,43.1739,-6800,7.52187,0.0912379,0.328
21500000,10,71.0897,-6796.73,10.1161,0.09355,0.341
22000000,6,39.2659,-6804.15,4.5715,0.0924128,0.335333
22500000,8,53.7872,-6790.36,8.34137,0.0898332,0.322
23000000,7,44.0213,-6798.24,7.07284,0.0932115,0.332
23500000,7,41.868,-6803.48,4.87102,0.0894746,0.329
24000000,7,43.7542,-6800.91,13.71,0.0935405,0.308
24500000,9,53.2945,-6788.73,9.42706,0.0918284,0.367
25000000,10,65.7537,-6799.85,5.11378,0.0885733,0.341
25500000,6,36.502,-6797.25,6.98894,0.0917384,0.305
26000000,6,38.7584,-6807.86,7.89229,0.0945796,0.3342
26500000,7,48.3536,-6806.27,6.31578,0.0853254,0.328
27000000,9,57.3245,-6803.79,7.14404,0.0875588,0.34
27500000,6,38.5173,-6798.14,4.44627,0.0903154,0.326
28000000,8,50.6943,-6801.34,7.38409,0.0881041,0.336
28500000,4,28.209,-6814.01,7.21965,0.0893349,0.309333
29000000,6,40.6024,-6812.13,5.57715,0.0901592,0.3305
29500000,8,47.8013,-6792.34,8.72548,0.0900652,0.334
30000000,7,41.1333,-6802.03,8.84834,0.0893321,0.337
30500000,8,55.1864,-6797.76,5.60215,0.0930664,0.328
31000000,9,57.3819,-6797.47,11.8331,0.0970627,0.327
31500000,7,43.1198,-6802.55,7.73262,0.0928356,0.327667
32000000,9,59.8119,-6799.62,6.93252,0.0906634,0.3195
32500000,6,41.8145,-6798.05,5.69199,0.0891943,0.33
33000000,8,50.0824,-6801.29,6.15773,0.0899513,0.356
33500000,8,50.1806,-6801.89,4.35488,0.0935164,0.324
34000000,11,62.3818,-6798.49,12.2388,0.0892782,0.324
34500000,6,40.5541,-6802.54,8.67745,0.0921877,0.3215
35000000,9,54.6469,-6796.43,11.767,0.0930241,0.309
35500000,7,49.9233,-6811.03,9.83531,0.0904877,0.343
36000000,10,61.5582,-6796.91,9.96606,0.0915606,0.36
36500000,7,44.6934,-6793.16,6.47044,0.0898772,0.327
37000000,8,50.1659,-6798.4,9.54285,0.087689,0.3435
37500000,8,50.7767,-6794.12,4.31946,0.0922708,0.349
38000000,9,63.2259,-6800.71,8.12318,0.0935307,0.343
38500000,10,65.9018,-6798.42,11.1534,0.088658,0.338
39000000,7,45.9204,-6800.88,7.05818,0.0890812,0.336464
39500000,8,47.6099,-6793.88,17.8426,0.091149,0.3375
40000000,15,97.2427,-6784.34,19.4446,0.0929073,0.37
40500000,8,53.1951,-6792.04,12.3909,0.0942613,0.332
41000000,9,63.8889,-6796.08,15.0262,0.0928557,0.346
41500000,9,57.3607,-6795.23,9.17383,0.0964694,0.3505
42000000,8,57.3448,-6798.73,6.92947,0.0935012,0.330333
42500000,9,56.8744,-6804.78,9.90504,0.0886239,0.3425
43000000,5,33.5286,-6808.75,4.83002,0.0924343,0.332727
43500000,8,47.4214,-6801.67,10.6113,0.092458,0.332333
44000000,7,37.245,-6790.94,3.78517,0.0907662,0.323
44500000,8,53.7388,-6804.47,13.6835,0.0915286,0.323
45000000,9,54.0666,-6795.25,5.54191,0.0906669,0.373
45500000,7,36.4506,-6806.51,7.78543,0.0894189,0.3395
46000000,7,45.6632,-6802.64,5.5422,0.0889303,0.344
46500000,8,47.914,-6797.06,12.178,0.0917071,0.306
47000000,11,70.4407,-6797.67,11.1253,0.0897805,0.352
47500000,9,56.8134,-6795.63,6.41114,0.0977473,0.359
48000000,8,53.3483,-6802.87,8.47025,0.091313,0.373
48500000,11,71.8101,-6795.86,14.2917,0.0862333,0.334
49000000,9,57.8171,-6789.19,16.0706,0.0942828,0.349
49500000,6,39.6528,-6802.02,2.57807,0.0917028,0.322333
50000000,7,45.8253,-6806.65,9.90653,0.0968939,0.377
50500000,8,53.0068,-6798.76,5.79488,0.0853271,0.324
51000000,8,54.8134,-6802.03,10.6981,0.092467,0.327
51500000,7,42.069,-6799.89,10.0799,0.0923034,0.348
52000000,5,33.8036,-6805.65,10.8673,0.0894589,0.335
52500000,8,53.0972,-6802.7,11.3174,0.091861,0.385
53000000,14,96.0189,-6785.21,15.5234,0.0909297,0.34
53500000,8,54.6632,-6794.76,6.49225,0.0942328,0.34
54000000,7,44.2158,-6792.07,8.47045,0.0965316,0.340333
54500000,9,61.8257,-6803.73,10.1574,0.0910163,0.337
55000000,8,51.8068,-6789.36,7.05786,0.0960226,0.359
55500000,8,54.1924,-6800.46,10.3981,0.0935167,0.341
56000000,13,74.7169,-6788.81,15.3929,0.093763,0.345
56500000,7,44.778,-6793.5,9.07551,0.0932959,0.327
57000000,7,44.5774,-6797.44,12.2784,0.0928686,0.31
57500000,12,77.895,-6793.82,11.5372,0.0914561,0.36
58000000,6,37.6947,-6799.32,10.0263,0.0903895,0.315
58500000,7,42.9305,-6789.34,7.5942,0.0895328,0.348333
59000000,7,49.7855,-6801.19,8.39007,0.0923578,0.338
59500000,7,43.6223,-6801.67,9.28259,0.093256,0.322
60000000,7,45.818,-6800.96,6.57285,0.0943368,0.3165
60500000,9,51.1572,-6793.17,7.00947,0.0889224,0.362
61000000,7,39.2736,-6813.71,9.17379,0.0953249,0.335778
61500000,10,61.4409,-6800.65,7.33922,0.0942759,0.349
62000000,7,49.6636,-6798.83,8.27096,0.0895641,0.326
62500000,6,41.7743,-6800.08,4.56594,0.0860797,0.3175
63000000,8,54.3091,-6801.3,7.73043,0.0931946,0.337
63500000,7,45.9373,-6807.18,9.44738,0.0919379,0.336
64000000,5,36.8835,-6815.26,4.77094,0.0883899,0.322
64500000,10,68.3602,-6788.4,7.7204,0.0926647,0.352
65000000,5,34.8225,-6803.44,6.34408,0.0950574,0.330167
65500000,6,41.2326,-6817.58,8.83135,0.0888233,0.335167
66000000,7,48.8541,-6801.67,6.05744,0.0914351,0.325333
66500000,8,52.5954,-6795.91,12.7524,0.089725,0.32
67000000,6,41.9835,-6803.66,3.94382,0.089239,0.3305
67500000,9,55.9858,-6793.59,5.94821,0.0893269,0.3255
68000000,8,51.7778,-6798.37,8.23202,0.0898518,0.31
68500000,6,41.182,-6805.08,10.529,0.0906321,0.336
69000000,11,72.8164,-6797.04,24.1738,0.0936102,0.387
69500000,11,78.851,-6795.54,5.74062,0.0886259,0.328
70000000,6,43.1954,-6796.61,6.51352,0.0902227,0.331
70500000,6,36.9965,-6792.56,7.30774,0.0926035,0.3175
71000000,8,49.5647,-6800.01,17.5641,0.0888371,0.3075
71500000,8,54.3481,-6799.52,6.41025,0.087204,0.31075
72000000,9,54.1096,-6797.31,8.94464,0.0896445,0.358
72500000,8,50.8972,-6803.94,7.165,0.0913464,0.340333
73000000,7,40.4887,-6789.73,8.8457,0.0918068,0.3295
73500000,9,62.3884,-6792.09,13.7478,0.0946273,0.329
74000000,9,51.189,-6805.91,11.8882,0.0947736,0.3435
74500000,8,48.4482,-6803.03,9.83008,0.0897594,0.356
75000000,9,61.8957,-6803.36,6.48216,0.0954929,0.339
75500000,8,53.6157,-6804.94,10.0122,0.0951457,0.329
76000000,9,53.1602,-6797.61,3.92236,0.0884892,0.351
76500000,12,79.843,-6798.31,16.5498,0.093954,0.363
77000000,10,61.2925,-6795.98,10.3644,0.0897384,0.348
77500000,7,48.892,-6794.16,6.4665,0.0923671,0.351
78000000,5,36.0136,-6810.25,5.811,0.0890666,0.3345
78500000,8,53.0354,-6800.43,5.56358,0.0891767,0.341
79000000,6,38.092,-6802.75,5.98859,0.0928516,0.291
79500000,9,63.5809,-6808.86,9.22199,0.0890724,0.332
80000000,6,33.8584,-6800.92,5.1431,0.0946409,0.299
80500000,10,57.0851,-6794.77,22.5046,0.0915497,0.345
81000000,8,50.7882,-6806.56,8.34453,0.0948412,0.337
81500000,7,50.1745,-6804.23,6.22112,0.0873816,0.346667
82000000,5,35.735,-6802.76,3.20964,0.088235,0.319286
82500000,12,75.1057,-6793.33,10.8268,0.0913697,0.337
83000000,11,72.6219,-6798.48,16.623,0.0914741,0.353
83500000,8,52.4296,-6795.91,8.59628,0.0916636,0.308
84000000,6,43.5892,-6807.56,9.24074,0.0942068,0.337
84500000,6,41.8211,-6798.99,4.50178,0.0939126,0.324
85000000,9,59.8468,-6796.1,8.44039,0.0934159,0.354
85500000,7,44.3511,-6801.85,6.95428,0.0929212,0.31
86000000,8,53.31,-6798.41,11.4248,0.0922216,0.316
86500000,8,50.4429,-6799.02,11.6583,0.0903121,0.3255
87000000,9,62.3995,-6792.01,8.9754,0.0909168,0.353
87500000,7,47.0631,-6793.86,4.70039,0.0904742,0.323
88000000,10,65.026,-6786.18,14.7377,0.0895995,0.358
88500000,7,44.5045,-6799.38,7.383,0.0904066,0.328
89000000,11,65.2388,-6788.69,16.9472,0.0869842,0.371
89500000,9,55.1569,-6796.12,9.36032,0.0932768,0.331
90000000,8,49.0232,-6799.45,7.78566,0.0930792,0.331
90500000,7,44.1108,-6802.38,11.7019,0.0938665,0.305
91000000,6,43.6714,-6805.18,5.18032,0.0877418,0.3186
91500000,6,41.834,-6801.61,3.38434,0.0962697,0.319
92000000,8,48.5471,-6801.99,8.9742,0.0909606,0.3315
92500000,6,38.7581,-6801.63,10.2006,0.0965122,0.296
93000000,7,43.2673,-6799.82,9.26031,0.0893715,0.331
93500000,8,50.8555,-6799.44,12.0222,0.0908651,0.3435
