generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,1,2,1
3000,1,2,0
4000,1,2,0
5000,1,2,0
6000,1,2,0
7000,1,2,0
8000,1,2,0
9000,1,2,0
10000,1,2,0
11000,1,2,0
12000,1,2,0
13000,1,2,0
14000,1,2,0
15000,1,2,0
16000,1,2,0
17000,1,2,0
18000,1,2,0
19000,1,2,0
20000,1,2,0
21000,1,2,0
22000,1,2,0
23000,1,2,0
24000,1,2,0
25000,1,2,0
26000,1,2,0
27000,1,2,0
28000,1,2,0
29000,1,2,0
30000,1,2,0
31000,1,2,0
32000,1,2,0
33000,1,2,0
34000,1,2,0
35000,1,2,0
36000,1,2,0
37000,1,2,0
38000,1,2,0
39000,1,2,1
40000,1,2,1
41000,1,2,1
42000,1,2,1
43000,1,2,1
44000,1,2,1
45000,1,2,0
46000,1,2,1
47000,1,2,1
48000,1,2,0
49000,1,2,1
50000,1,2,1
51000,1,2,1
52000,1,2,1
53000,1,2,1
54000,1,2,1
55000,1,2,1
56000,1,2,1
57000,1,2,1
58000,1,2,1
59000,1,2,0
60000,1,2,1
61000,1,2,1
62000,1,2,0
63000,1,2,1
64000,1,2,0
65000,1,2,1
66000,1,2,1
67000,1,2,1
68000,1,2,0
69000,1,2,0
70000,1,2,0
71000,1,2,0
72000,1,2,0
73000,1,2,0
74000,1,2,1
75000,1,2,1
76000,1,2,1
77000,1,2,1
78000,1,2,1
79000,1,2,0
80000,1,2,0
81000,1,2,0
82000,1,2,0
83000,1,2,0
84000,1,2,0
85000,1,2,0
86000,1,2,0
87000,1,2,0
88000,1,2,0
89000,1,2,1
90000,1,2,1
91000,1,2,0
92000,1,2,0
93000,1,2,0
94000,1,2,1
95000,1,2,1
96000,1,2,1
97000,1,2,1
98000,1,2,0
99000,1,2,0
100000,1,2,1
101000,1,2,0
102000,1,2,0
103000,1,2,0
104000,1,2,1
105000,1,2,1
106000,1,2,0
107000,1,2,0
108000,1,2,0
109000,1,2,1
110000,1,2,1
111000,1,2,0
112000,1,2,0
113000,1,2,0
114000,1,2,0
115000,1,2,0
116000,1,2,0
117000,1,2,1
118000,1,2,1
119000,1,2,1
120000,1,2,1
121000,1,2,1
122000,1,2,1
123000,1,2,1
124000,1,2,1
125000,1,2,0
126000,1,2,1
127000,1,2,1
128000,1,2,1
129000,1,2,0
130000,1,2,0
131000,1,2,1
132000,1,2,1
133000,1,2,1
134000,1,2,1
135000,1,2,1
136000,1,2,1
137000,1,2,1
138000,1,2,0
139000,1,2,0
140000,1,2,0
141000,1,2,0
142000,1,2,0
143000,1,2,0
144000,1,2,0
145000,1,2,0
146000,1,2,0
147000,1,2,0
148000,1,2,0
149000,1,2,0
150000,1,2,0
151000,1,2,0
152000,1,2,0
153000,1,2,0
154000,1,2,0
155000,1,2,0
156000,1,2,0
157000,1,2,0
158000,1,2,0
159000,1,2,0
160000,1,2,0
161000,1,2,0
162000,1,2,0
163000,1,2,0
164000,1,2,0
165000,1,2,1
166000,1,2,1
167000,1,2,0
168000,1,2,0
169000,1,2,0
170000,1,2,0
171000,1,2,0
172000,1,2,0
173000,1,2,0
174000,1,2,0
175000,1,2,0
176000,1,2,0
177000,1,2,0
178000,1,2,0
179000,1,2,0
180000,1,2,0
181000,1,2,0
182000,1,2,0
183000,1,2,0
184000,1,2,1
185000,1,2,1
186000,1,2,1
187000,1,2,1
188000,1,2,1
189000,1,2,0
190000,1,2,1
191000,1,2,1
192000,1,2,1
193000,1,2,1
194000,1,2,1
195000,1,2,1
196000,1,2,0
197000,1,2,1
198000,1,2,1
199000,1,2,1
200000,1,2,1
201000,1,2,0
202000,1,2,0
203000,1,2,0
204000,1,2,1
205000,1,2,1
206000,1,2,0
207000,1,2,0
208000,1,2,1
209000,1,2,1
210000,1,2,0
211000,1,2,0
212000,1,2,1
213000,1,2,1
214000,1,2,0
215000,1,2,0
216000,1,2,1
217000,1,2,1
218000,1,2,1
219000,1,2,1
220000,1,2,1
221000,1,2,1
222000,1,2,1
223000,1,2,1
224000,1,2,1
225000,1,2,1
226000,1,2,1
227000,1,2,1
228000,1,2,1
229000,1,2,1
230000,1,2,1
231000,1,2,1
232000,1,2,1
233000,1,2,1
234000,1,2,0
235000,1,2,0
236000,1,2,0
237000,1,2,1
238000,1,2,0
239000,1,2,1
240000,1,2,1
241000,1,2,1
242000,1,2,1
243000,1,2,0
244000,1,2,0
245000,1,2,1
246000,1,2,1
247000,1,2,1
248000,1,2,0
249000,1,2,1
250000,1,2,0
251000,1,2,1
252000,1,2,0
253000,1,2,0
254000,1,2,0
255000,1,2,0
256000,1,2,1
257000,1,2,0
258000,1,2,1
259000,1,2,0
260000,1,2,0
261000,1,2,0
262000,1,2,0
263000,1,2,0
264000,1,2,0
265000,1,2,0
266000,1,2,0
267000,1,2,1
268000,1,2,1
269000,1,2,0
270000,1,2,0
271000,1,2,1
272000,1,2,0
273000,1,2,0
274000,1,2,0
275000,1,2,0
276000,1,2,1
277000,1,2,0
278000,1,2,1
279000,1,2,1
280000,1,2,1
281000,1,2,0
282000,1,2,1
283000,1,2,1
284000,1,2,1
285000,1,2,0
286000,1,2,0
287000,1,2,1
288000,1,2,0
289000,1,2,0
290000,1,2,1
291000,1,2,1
292000,1,2,0
293000,1,2,0
294000,1,2,0
295000,1,2,0
296000,1,2,0
297000,1,2,0
298000,1,2,0
299000,1,2,0
300000,1,2,0
301000,1,2,1
302000,1,2,1
303000,1,2,1
304000,1,2,1
305000,1,2,0
306000,1,2,0
307000,1,2,0
308000,1,2,0
309000,1,2,0
310000,1,2,0
311000,1,2,0
312000,1,2,0
313000,1,2,0
314000,1,2,1
315000,1,2,1
316000,1,2,1
317000,1,2,1
318000,1,2,0
319000,1,2,0
320000,1,2,0
321000,1,2,0
322000,1,2,1
323000,1,2,0
324000,1,2,0
325000,1,2,1
326000,1,2,1
327000,1,2,1
328000,1,2,1
329000,1,2,1
330000,1,2,0
331000,1,2,0
332000,1,2,0
333000,1,2,1
334000,1,2,1
335000,1,2,1
336000,1,2,1
337000,1,2,0
338000,1,2,1
339000,1,2,0
340000,1,2,1
341000,1,2,1
342000,1,2,0
343000,1,2,0
344000,1,2,0
345000,1,2,0
346000,1,2,0
347000,1,2,0
348000,1,2,1
349000,1,2,1
350000,1,2,1
351000,1,2,1
352000,1,2,0
353000,1,2,1
354000,1,2,1
355000,1,2,1
356000,1,2,0
357000,1,2,0
358000,1,2,1
359000,1,2,1
360000,1,2,0
361000,1,2,1
362000,1,2,1
363000,1,2,0
364000,1,2,1
365000,1,2,1
366000,1,2,0
367000,1,2,0
368000,1,2,1
369000,1,2,1
370000,1,2,0
371000,1,2,0
