generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,0.685688,-3200.04,200,0.013422,0
500000,9,56.2777,-2984.38,8.35491,0.0047268,0.351
1000000,11,69.1948,-2993.84,9.90877,0.00509135,0.344
1500000,14,85.4056,-3006.83,10.2542,0.00393488,0.378
2000000,10,65.0788,-2998.75,9.79786,0.00476274,0.34
2500000,9,58.8419,-3007.73,8.12784,0.005126,0.409667
3000000,12,72.0696,-3006.51,11.2243,0.0046633,0.35
3500000,11,69.0344,-3015.67,14.1649,0.00570803,0.373
4000000,11,70.7965,-3002.1,10.562,0.00571623,0.386
4500000,7,46.2023,-3011.3,8.85153,0.00527975,0.375
5000000,10,61.1415,-3002.43,8.12405,0.00421837,0.344
5500000,7,40.8967,-3005.17,14.098,0.00537397,0.363
6000000,9,52.3598,-3004.74,8.50966,0.0042118,0.374
6500000,11,60.3287,-2994.83,14.6993,0.00425718,0.367
7000000,7,46.0915,-3010.93,16.795,0.00444519,0.3335
7500000,13,74.9985,-3009.83,16.9767,0.00382229,0.385
8000000,10,59.4103,-3002.25,12.046,0.00498824,0.3498
8500000,7,40.5389,-3005.56,9.97318,0.00508948,0.344
9000000,8,52.2376,-3014.41,8.47655,0.00559708,0.356
9500000,6,34.023,-3007.26,8.99784,0.0059166,0.3455
10000000,7,38.9651,-3002.58,14.512,0.00406234,0.3375
10500000,8,50.6696,-2997.82,7.15124,0.00557281,0.348654
11000000,10,50.0445,-3005.51,4.92396,0.00580219,0.3528
11500000,8,48.7914,-3009.24,18.4779,0.00597317,0.352
12000000,14,88.0649,-3001,8.51033,0.0056617,0.381
12500000,9,51.2006,-2999.21,10.9881,0.00349434,0.331
13000000,6,39.005,-3026.23,6.56194,0.00409189,0.3468
13500000,11,68.2173,-2999.07,12.9638,0.00543788,0.325
14000000,9,51.2265,-3002.33,17.8212,0.00473373,0.345333
14500000,9,53.8546,-3002.13,13.3997,0.0043108,0.357
15000000,9,58.9566,-2999.12,5.68854,0.00561062,0.319
15500000,8,46.2014,-3002.5,7.5749,0.00596104,0.338
16000000,12,77.293,-3002.96,16.9503,0.00545041,0.378
16500000,7,40.3623,-3006.76,5.68961,0.00481168,0.3525
17000000,11,68.6806,-2997.04,7.51675,0.00438103,0.351
17500000,8,52.0346,-3008.23,7.80883,0.00542703,0.335
