generation,leftchild,rightchild,abstime,betainit,betashift
0,Onychodactylus_japonicus,Pseudobranchus_striatus,0,0.5,0
1000000,Onychodactylus_japonicus,Pseudobranchus_striatus,0,0.0147573,-0.00728361
1000000,Salamandrella_keyserlingii,Ranodon_sibiricus,170.704,0.2408,-0.0407338
1000000,Siren_lacertina,NA,181.266,0.136423,-0.00204121
1000000,Dicamptodon_ensatus,Ambystoma_talpoideum,102.908,0.00720977,0.034958
1000000,Neurergus_crocatus,NA,203.521,3.66504,-0.0317082
1000000,Amphiuma_tridactylum,Amphiuma_means,156.325,0.773663,-0.102086
1000000,Desmognathus_wrighti,NA,195.852,0.31597,-0.0452452
1000000,Plethodon_petraeus,NA,206.963,1.19629,0.0443175
1000000,Eurycea_rathbuni,Eurycea_nana,191.164,0.286759,-0.0602264
2000000,Onychodactylus_japonicus,Pseudobranchus_striatus,0,0.0190244,-0.00728361
2000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,117.653,0.273359,-0.0193956
2000000,Ambystoma_talpoideum,Ambystoma_gracile,161.067,0.0978784,-0.0260163
2000000,Neurergus_kaiseri,Neurergus_crocatus,195.518,1.10275,-0.0149696
2000000,Rhyacotriton_olympicus,NA,98.697,0.100004,0.0381833
2000000,Amphiuma_tridactylum,Amphiuma_means,100.28,0.928179,-0.0394547
2000000,Plethodon_petraeus,NA,201.113,0.922653,0.0558204
2000000,Eurycea_rathbuni,Eurycea_nana,188.958,1.305,-0.0417604
3000000,Onychodactylus_japonicus,Pseudobranchus_striatus,0,0.0192108,-0.00744365
3000000,Onychodactylus_japonicus,NA,150.753,1.49546,0.0226945
3000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,129.507,0.380008,-0.0208647
3000000,Pseudobranchus_striatus,NA,182.755,0.000280141,-0.0459475
3000000,Pseudobranchus_striatus,Siren_lacertina,130.711,0.226998,-0.0538046
3000000,Dicamptodon_ensatus,Ambystoma_talpoideum,84.9075,0.553341,0.0560719
3000000,Dicamptodon_ensatus,Ambystoma_talpoideum,87.1505,0.936365,-0.0346159
3000000,Cynops_cyanurus,NA,200.833,0.0404686,-0.0364837
3000000,Neurergus_crocatus,NA,206.732,1.91651,0.0366715
3000000,Amphiuma_tridactylum,Amphiuma_means,150.989,1.03862,-0.0529254
3000000,Plethodon_yonahlossee,NA,202.766,1.09481,0.00063701
3000000,Desmognathus_apalachicolae,NA,199.752,0.703387,0.0660045
3000000,Plethodon_petraeus,NA,202.276,0.202203,-0.0470564
3000000,Eurycea_rathbuni,Eurycea_nana,185.337,0.110688,0.0344908
3000000,Pseudoeurycea_gadovii,NA,204.92,1.25808,0.0432964
4000000,Onychodactylus_japonicus,Pseudobranchus_striatus,0,0.0174114,-0.00829586
4000000,Salamandrella_keyserlingii,Ranodon_sibiricus,141.831,0.0788613,-0.00164208
4000000,Pseudobranchus_striatus,Siren_lacertina,157.814,0.681451,-0.0776399
4000000,Dicamptodon_ensatus,Dicamptodon_copei,149.22,0.949248,-0.0875924
4000000,Ambystoma_talpoideum,Ambystoma_gracile,142.247,0.0437474,-0.0166801
4000000,Neurergus_kaiseri,Neurergus_crocatus,191.451,0.554008,-0.0514838
4000000,Amphiuma_tridactylum,NA,196.106,2.72993,0.0216305
4000000,Plethodon_petraeus,NA,198.889,1.09837,-0.0306463
4000000,Amphiuma_tridactylum,Amphiuma_means,90.7205,0.781032,-0.00343411
4000000,Desmognathus_aeneus,NA,199.841,0.749282,0.00423494
4000000,Eurycea_rathbuni,Eurycea_nana,199.909,0.0983029,0.0349862
4000000,Plethodon_yonahlossee,NA,199.631,2.01744,-0.116
4000000,Pseudoeurycea_unguidentis,NA,206.796,0.0111358,0.0614681
5000000,Onychodactylus_japonicus,Pseudobranchus_striatus,0,0.0217947,-0.00829586
5000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,118.753,0.0335131,0.0117933
5000000,Siren_lacertina,NA,173.462,0.196776,0.0922974
5000000,Ambystoma_californiense,Ambystoma_tigrinum,194.464,0.917812,-0.044705
5000000,Pachytriton_brevipes,NA,207.62,0.342209,-0.0556312
5000000,Neurergus_crocatus,NA,204.559,0.368735,-0.0315655
5000000,Amphiuma_tridactylum,Amphiuma_means,108.823,1.18733,-0.0511607
5000000,Karsenia_koreana,NA,173.222,0.0557806,-0.0087764
5000000,Desmognathus_aeneus,NA,194.505,3.85702,0.00140335
5000000,Plethodon_petraeus,NA,202.104,0.404054,0.0596507
5000000,Eurycea_spelaea,Eurycea_lucifuga,164.065,0.0351739,-0.0132067
5000000,Oedipina_complex,NA,206.38,0.013229,-0.00176851
5000000,Parvimolge_townsendi,NA,197.99,1.44915,-0.00132944
6000000,Onychodactylus_japonicus,Pseudobranchus_striatus,0,0.00187566,0.0167058
6000000,Batrachuperus_tibetanus,NA,200.969,0.825901,-0.0162722
6000000,Hynobius_lichenatus,Hynobius_nigrescens,195.077,2.94972,-0.00975811
6000000,Salamandrella_keyserlingii,Ranodon_sibiricus,162.206,0.929527,-0.0217414
6000000,Pseudobranchus_striatus,Siren_lacertina,136.754,0.436804,-0.0181718
6000000,Dicamptodon_ensatus,Ambystoma_talpoideum,68.5578,0.00889046,0.0209328
6000000,Pachytriton_labiatus,Pachytriton_brevipes,198.613,0.217185,-0.137743
6000000,Neurergus_crocatus,NA,203.12,0.732973,0.0386796
