generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-4.72152,-695.626,200,1
1000000,8,2.30305,37.1861,10.4213,0.265
2000000,7,4.6736,-22.6769,10.5288,0.295
3000000,14,10.6826,-18.2434,20.2498,0.2955
4000000,12,4.51561,27.6918,11.0001,0.2685
5000000,12,8.52695,-6.15178,8.0786,0.296
6000000,15,8.63252,25.3412,17.2833,0.2525
7000000,10,6.73587,4.83708,12.2145,0.285667
8000000,11,7.64649,9.9454,11.1585,0.2715
9000000,14,10.9429,73.1455,18.9673,0.2495
10000000,10,0.887093,8.87067,9.63238,0.283
11000000,11,10.7124,17.0507,9.37034,0.2645
12000000,15,9.78216,33.8689,10.8441,0.268
13000000,10,6.06983,8.78696,8.4884,0.2595
14000000,13,12.6103,40.5386,15.4148,0.256
15000000,10,3.13,-4.81803,8.47389,0.273
16000000,7,1.28913,29.9647,8.88263,0.233
17000000,15,13.4226,-16.8784,20.3175,0.277333
18000000,9,1.14888,32.6198,9.67071,0.2805
19000000,13,8.21392,31.5093,12.6067,0.2645
20000000,14,11.1704,41.4163,13.5792,0.274
21000000,9,6.49313,0.345782,6.5002,0.285
22000000,16,7.39641,45.7838,21.0996,0.24
23000000,10,3.45923,18.4022,11.7618,0.2655
24000000,12,12.0325,-12.8433,16.6976,0.272
25000000,19,17.5812,32.9655,34.6138,0.269
26000000,12,6.97132,8.44322,13.7539,0.2675
27000000,14,5.3629,6.2863,21.4983,0.2775
28000000,7,2.0725,6.58951,13.5369,0.2595
29000000,13,6.22131,21.0915,12.9894,0.2755
30000000,8,3.70907,35.0464,6.63074,0.2705
31000000,8,7.82973,30.9885,13.8667,0.263
32000000,17,8.28197,62.1313,15.3443,0.2625
33000000,13,14.5794,0.476483,10.8698,0.260667
34000000,13,12.5869,55.5738,21.9784,0.258
35000000,8,4.14357,10.2833,8.01971,0.278
36000000,6,6.38244,13.2033,7.30843,0.2785
37000000,13,9.45455,43.8053,9.24351,0.272
38000000,13,15.9481,6.62057,9.94987,0.267
39000000,20,16.0118,8.6116,19.8715,0.284
40000000,10,3.90954,37.5838,16.5429,0.271
41000000,9,7.77416,30.6711,6.02189,0.2485
42000000,12,3.59266,58.6835,13.7892,0.2455
43000000,13,10.9704,3.07444,10.5691,0.3095
44000000,10,9.24854,41.8635,5.3109,0.2575
45000000,10,7.51802,22.8142,15.075,0.2735
46000000,14,11.0802,19.6319,18.1796,0.276
47000000,15,15.6868,6.98145,27.3023,0.294
48000000,12,3.75045,20.5848,21.3431,0.286
49000000,18,11.3229,30.5038,26.8326,0.244
50000000,14,6.38182,8.16223,11.014,0.2795
51000000,13,5.5489,28.5638,18.1224,0.27
52000000,9,10.2863,40.7845,8.46511,0.246
53000000,11,8.38776,10.0837,13.8211,0.274
54000000,16,15.8772,45.4173,9.41545,0.232
55000000,13,9.50572,19.5546,18.5051,0.2535
56000000,19,15.0542,16.9209,22.5211,0.2515
57000000,11,3.26167,-10.9347,6.76277,0.2855
58000000,22,17.6629,53.2466,17.9283,0.226
59000000,14,10.0525,17.8142,12.9426,0.2785
60000000,8,6.85732,1.99811,5.8151,0.265
61000000,18,10.471,23.9276,25.8379,0.2815
62000000,15,10.5494,20.8363,18.849,0.2745
63000000,18,0.499223,45.1108,20.6777,0.259
64000000,13,7.72482,20.3234,12.2795,0.2535
65000000,10,6.00364,19.9745,12.2496,0.25
66000000,13,12.9671,28.3187,20.5223,0.262
67000000,14,3.65197,20.0506,16.7132,0.287
68000000,14,9.25953,43.0949,7.89849,0.265
69000000,12,9.10302,3.13394,14.9686,0.291
70000000,16,11.5927,8.71273,12.5752,0.2865
71000000,11,8.9635,15.6532,12.0068,0.26
72000000,11,5.50878,22.9181,8.72718,0.282
73000000,20,16.0065,27.9886,20.0524,0.2815
74000000,10,6.85536,3.42347,10.564,0.272
75000000,11,10.8622,16.9848,17.9386,0.271
76000000,10,9.31243,14.7236,4.79433,0.282
77000000,18,14.9438,42.372,20.1351,0.2585
78000000,16,17.1315,27.6798,14.5993,0.2715
79000000,19,19.8424,17.6418,22.5761,0.3
80000000,16,18.2049,7.20405,24.9747,0.265
81000000,11,4.13543,3.69398,10.2124,0.2775
82000000,10,7.95076,26.1549,6.91543,0.2575
83000000,15,9.12379,27.6487,22.9798,0.2485
84000000,10,7.92542,3.86752,7.38063,0.257
85000000,9,6.80785,32.8159,9.45827,0.2315
86000000,8,4.90693,39.2866,12.249,0.2595
87000000,10,5.53075,7.74107,14.5501,0.273
88000000,9,5.13638,7.08527,12.8438,0.29
89000000,13,7.34086,25.0853,16.7397,0.2855
90000000,5,0.435765,-44.6874,7.02022,0.272
91000000,10,9.83717,-16.8917,11.8822,0.2935
92000000,13,13.6077,25.1294,15.1817,0.297
93000000,17,13.8937,51.6783,25.5042,0.267
94000000,14,14.196,-4.12872,22.3416,0.2985
95000000,10,4.03321,-2.08773,7.0293,0.291
96000000,8,3.73493,18.0798,9.70501,0.2685
