generation,leftchild,rightchild,abstime,betainit,betashift
0,Andrias_scheuchzeri,Celtedens_ibericus,0,0.5,0
1000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.0048932,0.00220582
1000000,Onychodactylus_japonicus,NA,234.035,0.00416076,0.00269844
1000000,Salamandrella_keyserlingii,Ranodon_sibiricus,219.981,0.0552622,0.00235529
1000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,170.462,0.0483342,-0.0031531
1000000,Iridotriton_hechti,NA,121.135,0.0109319,-0.00709506
1000000,Pseudobranchus_striatus,Siren_lacertina,217.363,0.0294825,-0.011562
1000000,Pseudobranchus_striatus,Paleoamphiuma_tetradactylum,133.8,0.00369859,0.00193146
1000000,Ambystoma_cingulatum,NA,268.784,0.0496967,0.00297555
1000000,Ambystoma_californiense,Ambystoma_tigrinum,259.173,0.0376674,-0.00156271
1000000,Salamandrina_terdigitata,Archaeotriton_basalticus,233.4,0.0299834,-0.00688309
1000000,Mertensiella_caucasica,NA,242.797,0.0759391,0.00484733
1000000,Cynops_pyrrhogaster,Cynops_ensicauda,256.815,0.0032292,-0.00133267
1000000,Neurergus_kaiseri,Neurergus_crocatus,245.989,0.073377,0.00138578
1000000,Pleurodeles_waltl,Notophthalmus_meridionalis,218.728,0.019365,0.0063056
1000000,Rhyacotriton_olympicus,NA,207.948,0.00202847,6.6308e-05
1000000,Karsenia_koreana,NA,234.464,0.107633,0.00249404
1000000,Desmognathus_wrighti,NA,251.907,0.0132404,0.00484153
1000000,Desmognathus_aeneus,NA,257.058,0.108901,0.000685218
1000000,Plethodon_ouachitae,NA,259.789,0.00119403,-0.0038498
1000000,Plethodon_yonahlossee,Plethodon_petraeus,250.645,0.104675,0.000846331
1000000,Eurycea_quadridigitata,Eurycea_rathbuni,244.933,0.169762,0.00382388
1000000,Oedipina_poelzi,NA,261.692,0.0225237,-0.00129375
1000000,Chiropterotriton_magnipes,NA,252.782,0.0278621,0.0084798
1000000,Chiropterotriton_magnipes,Chiropterotriton_priscus,242.232,0.050145,0.00410203
1000000,Parvimolge_townsendi,NA,266.96,0.103588,-0.00674306
1000000,Pseudoeurycea_scandens,NA,270.023,0.0527656,-0.00417528
1000000,Pseudoeurycea_leprosa,NA,266.4,0.115632,0.00663987
1000000,Bolitoglossa_cerroensis,NA,260.802,0.0551117,0.00162909
1000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,155.338,0.00223402,0.00276878
1000000,Rhyacotriton_olympicus,Amphiuma_tridactylum,117.248,0.0924589,0.00490502
1000000,Celtedens_ibericus,NA,21.6394,0.0644801,-0.00101723
2000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.00655851,-0.00803033
2000000,Andrias_scheuchzeri,NA,126.514,0.101077,-0.00102318
2000000,Andrias_scheuchzeri,NA,218.417,0.0752462,0.00456869
2000000,Batrachuperus_pinchonii,Batrachuperus_tibetanus,249.923,0.045365,-0.000349983
2000000,Andrias_scheuchzeri,Karaurus_sharovi,28.3585,0.00410458,0.00328778
2000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,168.065,0.00802872,-0.00132518
2000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,182.215,0.0344063,-0.000576995
2000000,Opithisthotriton_kayi,NA,132.508,0.0339727,0.000688926
2000000,Opithisthotriton_kayi,NA,152.03,0.0784124,0.00258887
2000000,Opithisthotriton_kayi,NA,180.55,0.0235336,-0.00679253
2000000,Pseudobranchus_striatus,NA,257.068,0.0649542,0.00265468
2000000,Pseudobranchus_striatus,Paleoamphiuma_tetradactylum,110.101,0.0172178,0.000992587
2000000,Salamandra_salamandra,Salamandra_atra,230.783,0.0113876,-0.00324759
2000000,Cynops_pyrrhogaster,NA,257.674,0.048661,0.00167104
2000000,Ambystoma_jeffersonianum,Ambystoma_laterale,257.47,0.0590981,-0.0025791
2000000,Echinotriton_andersoni,Tylototriton_shanjing,250.612,0.141819,-0.0098435
2000000,Echinotriton_andersoni,Tylototriton_shanjing,249.603,0.0236103,0.00794494
2000000,Plethodon_vehiculum,NA,258.755,0.0163183,-0.00187161
2000000,Notophthalmus_meridionalis,Taricha_rivularis,231.805,0.0469251,-0.00426992
2000000,Pachytriton_labiatus,Pachytriton_brevipes,265.061,0.0640862,-0.00276515
2000000,Necturus_punctatus,Necturus_beyeri,248.801,0.0803619,-0.00182319
2000000,Rhyacotriton_olympicus,NA,149.048,0.130885,1.93904e-05
2000000,Hydromantes_shastae,Hydromantes_brunus,242.632,0.00798136,-0.00763037
2000000,Aneides_hardii,Aneides_lugubris,235.038,0.000444447,-0.0022062
2000000,Desmognathus_welteri,NA,263.936,0.0510192,0.00596254
2000000,Hemidactylium_scutatum,NA,236.584,0.000427694,-0.00206439
2000000,Desmognathus_wrighti,Desmognathus_quadramaculatus,231.327,0.014076,0.00273352
2000000,Plethodon_welleri,Plethodon_dorsalis,254.279,0.00370452,0.00288816
2000000,Plethodon_petraeus,NA,262.36,0.126357,0.000302163
2000000,Plethodon_teyahalee,Plethodon_glutinosus,264.319,0.0120649,-0.00264911
2000000,Eurycea_lucifuga,NA,249.291,0.0296147,-0.00141601
2000000,Notophthalmus_viridescens,Notophthalmus_perstriatus,254.142,0.0412582,0.00202303
2000000,Cynops_pyrrhogaster,Pachytriton_labiatus,248.751,0.00158381,0.00299481
2000000,Rhyacotriton_olympicus,NA,198.808,0.0452765,0.00278112
2000000,Hydromantes_imperialis,NA,262.83,0.00119963,0.00269326
2000000,Karsenia_koreana,NA,255.625,0.0847638,-0.000413568
2000000,Aneides_hardii,NA,258.525,0.130859,-0.00488905
2000000,Desmognathus_welteri,NA,266.669,0.0191728,-0.001147
2000000,Plethodon_yonahlossee,NA,265.237,0.0283175,-0.00898731
2000000,Eurycea_quadridigitata,NA,260.101,0.00762349,-0.00849862
2000000,Eurycea_spelaea,Eurycea_lucifuga,228.673,0.00772704,0.00719756
2000000,Batrachoseps_wrighti,NA,229.648,0.00197768,0.00820044
2000000,Batrachoseps_wrighti,NA,262.634,0.0535041,-0.00476134
2000000,Chiropterotriton_lavae,NA,267.326,0.019077,0.00040754
2000000,Chiropterotriton_magnipes,NA,268.826,0.152774,-0.00341461
2000000,Chiropterotriton_priscus,NA,261.303,0.0745983,-0.00340255
2000000,Parvimolge_townsendi,NA,268.338,0.032929,-0.0011257
2000000,Pseudoeurycea_goebeli,Pseudoeurycea_rex,262.282,0.0397909,0.00228799
2000000,Bolitoglossa_cerroensis,NA,268.615,0.00928771,0.00012267
2000000,Bolitoglossa_helmrichi,NA,269.94,0.056828,0.00562893
2000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,167.668,0.00354829,-0.00468108
2000000,Necturus_punctatus,Rhyacotriton_olympicus,108.494,0.0357108,-0.0031224
2000000,Valdotriton_gracilis,NA,111.301,0.0159113,-0.00541577
2000000,Dicamptodon_ensatus,Valdotriton_gracilis,76.8597,0.0342415,-0.00334742
2000000,Qinglongtriton_gangouensis,NA,69.3727,0.0253441,0.00575831
3000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.00777484,0.00323449
3000000,Hynobius_lichenatus,NA,267.496,0.0292003,-0.0103137
3000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,129.224,0.0994995,-0.00102896
3000000,Sinerpeton_fengshanensis,NA,123.291,0.101532,0.00204427
3000000,Opithisthotriton_kayi,NA,205.257,0.0326438,0.00299439
3000000,Paleoamphiuma_tetradactylum,NA,190.314,0.00167612,0.00117255
3000000,Paramesotriton_guangxiensis,NA,261.839,0.0389332,0.00234749
3000000,Neurergus_kaiseri,NA,264.593,0.104539,-0.00232133
3000000,Neurergus_crocatus,NA,264.768,0.116506,0.0030647
3000000,Triturus_marmoratus,Triturus_cristatus,249.963,0.00214432,-0.00419481
3000000,Necturus_beyeri,Necturus_maculosus,258.883,0.0205846,4.15039e-05
3000000,Rhyacotriton_olympicus,NA,159.981,0.0588487,0.00411268
3000000,Rhyacotriton_olympicus,NA,243.724,0.0228223,-0.000303375
3000000,Rhyacotriton_olympicus,NA,244.489,0.00100552,0.00302101
3000000,Hydromantes_shastae,Hydromantes_brunus,252.842,0.00364425,-0.00441286
3000000,Karsenia_koreana,NA,233.927,0.0766331,-0.00391942
3000000,Aneides_hardii,NA,255.731,0.0674487,0.00564032
3000000,Desmognathus_wrighti,NA,258.219,0.00777892,-0.0009626
3000000,Desmognathus_auriculatus,NA,267.442,0.0180672,0.0047489
3000000,Desmognathus_wrighti,Desmognathus_quadramaculatus,228.829,0.0304742,-0.00796232
3000000,Plethodon_larselli,NA,265.26,0.0227883,0.00201519
3000000,Plethodon_petraeus,NA,266.935,0.302139,-0.000770711
3000000,Gyrinophilus_porphyriticus,NA,269.266,0.0655852,-0.00362579
3000000,Eurycea_rathbuni,Eurycea_nana,252.219,0.0177492,-0.000220954
3000000,Stereochilus_marginatus,Eurycea_spelaea,186.358,0.0105644,-0.0039058
3000000,Batrachoseps_wrighti,NA,265.631,0.0730487,0.00482049
3000000,Dendrotriton_bromeliacius,NA,265.297,0.0111171,0.00231192
3000000,Mertensiella_caucasica,NA,238.941,0.0300525,0.00328825
3000000,Chiropterotriton_priscus,NA,257.394,0.0889516,0.00908747
3000000,Pseudoeurycea_bellii,NA,242.723,0.056544,-0.00178484
3000000,Pseudoeurycea_werleri,NA,247.226,0.00727659,0.000530675
3000000,Pseudoeurycea_exspectata,Pseudoeurycea_goebeli,262.119,0.0118645,-0.00320694
3000000,Bolitoglossa_platydactyla,NA,256.818,0.0174973,-0.000484266
3000000,Batrachoseps_wrighti,Palaeoplethodon_hispaniolae,185.138,0.0017466,0.00271117
3000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,158.541,0.0781806,0.00465473
3000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,171.945,0.00194272,-0.00137228
3000000,Rhyacotriton_olympicus,Amphiuma_tridactylum,121.774,0.042219,0.00246113
3000000,Karaurus_sharovi,NA,81.4575,0.0812149,0.00474852
3000000,Celtedens_ibericus,NA,138.183,0.0451203,-0.00291838
4000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.00960964,0.00575709
