generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-7.38342,-849.376,200,0
1000000,37,237.956,-8.32665,30.9056,0.282
2000000,40,231.061,8.40258,43.8319,0.246333
3000000,32,188.761,20.8497,31.0247,0.243
4000000,32,181.692,42.5083,34.8973,0.2475
5000000,38,222.121,37.9991,35.6302,0.256
6000000,36,219.603,3.1762,29.6971,0.25375
7000000,25,144.251,-5.52871,26.1696,0.245
8000000,32,195.515,21.0547,38.3647,0.232
9000000,30,180.297,30.4034,26.9331,0.247
10000000,41,249.625,31.1365,49.5477,0.245
11000000,46,290.448,22.3082,53.2064,0.263
12000000,47,278.161,25.5054,51.5673,0.232
13000000,61,373.637,79.5572,74.3564,0.251
14000000,28,168.32,41.8291,21.6557,0.2155
15000000,55,325.819,7.00797,69.7396,0.234
16000000,57,347.439,46.5288,57.3046,0.237
17000000,49,282.446,25.8004,48.2663,0.265
18000000,81,475.65,23.8761,69.8434,0.244
19000000,28,153.866,36.6428,24.139,0.227
20000000,46,271.904,11.7618,44.1898,0.222
21000000,81,480.128,68.9039,83.4257,0.22
22000000,33,198.344,15.562,25.3832,0.224
23000000,37,213.115,43.5534,45.9285,0.244333
24000000,52,313.896,37.7816,73.7425,0.2235
25000000,34,186.766,51.7023,28.4898,0.2375
26000000,41,243.749,-3.57624,30.0108,0.248
27000000,23,130.025,4.55409,17.5801,0.250333
28000000,70,433.572,54.9087,72.1308,0.237
29000000,61,374.215,54.2057,57.122,0.2445
30000000,69,410.883,33.6395,74.9808,0.248
31000000,65,391.611,78.6386,75.0523,0.258
32000000,43,251.543,15.9996,44.1918,0.23575
33000000,35,210.614,21.0338,33.8841,0.239
34000000,41,237.082,2.20229,52.1432,0.255
35000000,28,157.297,15.5401,23.5979,0.27
36000000,27,155.136,42.2926,20.5428,0.2215
37000000,28,155.742,28.7816,30.6967,0.238
38000000,26,152.159,-14.2862,25.0349,0.233
39000000,53,330.465,44.6036,45.8495,0.259
40000000,34,202.462,27.6051,35.7678,0.2355
41000000,49,280.066,37.9354,46.793,0.23
42000000,34,211.182,3.06989,26.4081,0.247
43000000,36,224.221,0.794425,28.4334,0.256
44000000,45,272.139,41.3374,46.1199,0.2585
45000000,26,156.236,-4.56166,36.4131,0.259
46000000,46,270.519,26.8425,46.9263,0.25
47000000,38,217.883,4.15686,39.6394,0.257
48000000,22,131.582,6.47932,27.7123,0.267667
49000000,45,269.076,50.2423,43.724,0.248
50000000,92,568.392,64.5362,80.4534,0.248
51000000,25,139.844,5.6845,25.4747,0.265
52000000,52,309.303,33.3286,49.9981,0.224
53000000,41,252.358,49.9472,50.7883,0.234
54000000,62,370.896,14.2918,58.6463,0.265
55000000,39,231.596,35.1415,47.043,0.248
56000000,81,496.747,37.6708,88.6954,0.2305
57000000,34,201.264,45.0297,37.8808,0.215
58000000,30,184.816,18.714,24.9435,0.2545
59000000,62,358.894,61.6333,59.0957,0.2355
60000000,44,260.969,42.1221,44.9291,0.258
61000000,39,229.333,24.5597,42.3713,0.2275
62000000,53,310.905,41.2063,45.4915,0.2505
63000000,38,232.057,53.7185,48.6017,0.236
64000000,68,418.028,56.4504,63.6836,0.2255
65000000,50,300.796,27.7091,44.6619,0.254
66000000,36,221.476,31.8456,44.9428,0.245
67000000,27,155.899,-8.95426,27.2474,0.2495
68000000,33,212.731,9.03171,36.9051,0.234
69000000,32,190.809,39.6272,29.4284,0.2345
70000000,39,240.52,25.3469,44.8392,0.226
71000000,42,266.163,29.9324,40.7145,0.255
72000000,25,143.872,25.9729,27.9177,0.238
73000000,40,234.568,36.2441,37.7099,0.243
74000000,37,221.614,37.2244,25.9048,0.2275
75000000,47,277.157,59.5095,38.0038,0.233
76000000,67,370.695,52.9753,77.1025,0.228
77000000,58,329.736,26.4116,57.071,0.253
