Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
2664,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,HYNOBIIDAE,Afghanodon,mustersi,"(Smith, 1940)",,,,,Batrachuperus mustersi  |Paradactylodon mustersi,,,,CR,B2ab(iii),3.1,2004,decreasing,N
59049,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,AMBYSTOMATIDAE,Ambystoma,altamirani,"(Dugès, 1895)",,,,,Amblystoma altamirani|Ambystoma  zempoalaense|Rhyacosiredon  altamirani|Rhyacosiredon  zempoalaensis ,Mountain Stream Siredon,,Ajolote,EN,"A2ace; B1ab(iii,v)+2ab(iii,v)",3.1,2008,decreasing,N
59050,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,AMBYSTOMATIDAE,Ambystoma,amblycephalum,"Taylor, 1940",,,,,Ambystoma  amblycephala ,"Blunthead Salamander, Blunt-headed Salamander",,Ajolote de Cabeza Chata,CR,B1ab(iii),3.1,2016,decreasing,N
59051,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,AMBYSTOMATIDAE,Ambystoma,andersoni,"Krebs & Brandon, 1984",,,,,"",Anderson's Salamander,,"Achoque (Local Mexican Name), Ajolote",CR,B1ab(iii),3.1,2015,decreasing,N
59052,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,AMBYSTOMATIDAE,Ambystoma,annulatum,"(Cope, 1886)",,,,,Linguaelapsus annulatum  ,Ringed Salamander,,,LC,,3.1,2014,stable,N
59053,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,AMBYSTOMATIDAE,Ambystoma,barbouri,"Kraus & Petranka, 1989",,,,,"",Streamside Salamander,,,NT,,3.1,2004,decreasing,N
136128,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,AMBYSTOMATIDAE,Ambystoma,bishopi,"(Goin, 1950)",,,,,Linguaelapsus bishopi  ,Reticulated Flatwoods Salamander,,,VU,A2c,3.1,2008,decreasing,N
59054,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,AMBYSTOMATIDAE,Ambystoma,bombypellum,"Taylor, 1940",,,,,Ambystoma bombypella,"Delicateskin Salamander , Axolotl",,Ajolote,CR,B1ab(iii)+2ab(iii),3.1,2008,decreasing,N
1098,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,AMBYSTOMATIDAE,Ambystoma,californiense,"Gray, 1853",,,,,Ambystoma tigrinum   ,California Tiger Salamander,,,VU,A2c,3.1,2004,decreasing,N
1099,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,AMBYSTOMATIDAE,Ambystoma,cingulatum,"(Cope, 1867)",,,,,Amblystoma cingulatum  ,Frosted Flatwoods Salamander,,,VU,A2c,3.1,2008,decreasing,N
