genus,species,specimen,age_max,age_min,fm,lat,long,country,lith,pres,svl,head_width,lchild,rchild,numOcc,phyloSource,author,journal,year,neotenic,ENA,WNA,Neo,Eur,CASIA,EASIA,notes
Notophthalmus,crassus,,20.4,13.8,,43.1,-101.9,USA,,isolated,NA,NA,Notophthalmus,,1,ML2014,,,,,?,1,?,?,?,?,
Notophthalmus,robustus,,20.4,13.8,,29.7,-82.6,USA,,isolated,NA,NA,Notophthalmus,,3,ML2014,,,,,1,?,?,?,?,?,
Carpathotriton,matraensis,,13,11,SajoValley,47.880108,19.975,Hungary,,isolated,NA,NA,Paramesotriton,Mesotriton,1,ML2014,,,,,?,?,?,1,?,?,
Ommatriton,roehrsi,,20.4,5.3,,NA,NA,Eur,,isolated,NA,NA,Ommatotriton,,4,ML2014,,,,,?,?,?,1,?,?,
Triturus,aff.marmoratus,,13.6,11.6,,NA,NA,Eur,,isolated,NA,NA,Triturus_marmoratus,Triturus_pygmaeus,1,ML2014,,,,,?,?,?,1,?,?,probably should not be sister to pygmaeus as well
Lissotriton,aff.helveticus,,12.7,11.6,,46.3,21.9,Romania,,isolated,NA,NA,Lissotriton_helveticus,,1,ML2014,,,,,?,?,?,1,?,?,
Procynops,miocenicus,,16,11.6,Shanwang,36.5,118.5,China,,isolated,NA,NA,Cynops,Hypselotriton,1,ML2014,,,,,?,?,?,?,?,1,
Pseudobranchus,vetustus,,13.6,10.3,,29.8,-82.1,USA,,isolated,NA,NA,Pseudobranchus,,1,Bennett2013,,,,,1,?,?,?,?,?,
Siren,simpsoni,,13.6,10.3,,29.8,-82.1,USA,,isolated,NA,NA,Siren,,1,Bennett2013,,,,,1,?,?,?,?,?,
Siren,miotexana,,15.97,13.6,,30.5,-84.5,USA,,isolated,NA,NA,Siren,Pseudobranchus,1,Bennett2013,,,,,1,?,?,?,?,?,
Siren,hesterna,,20.4,16,Alachua,29.7,82.6,USA,,isolated,NA,NA,Siren,Pseudobranchus,1,Bennett2013,,,,,1,?,?,?,?,?,
Siren,dunni,,50.3,46.2,Bridger,41.7,-109,USA,,isolated,NA,NA,Siren,Pseudobranchus,1,Bennett2013,,,,,?,1,?,?,?,?,Bennett et al have this sister to Siren+Pseudobranchus contra Marjanovic
Paleoamphiuma,tetradactylum,FMNHPR1810,52,52,GreenRiver,41.7956,-110.597568,USA,,full_skeleton,200,NA,Siren,Pseudobranchus,1,ML2014,,,,,?,1,?,?,?,?,
Habrosaurus,dilatus,,63.3,61.7,FortUnion,45.8,-109.8,USA,,isolated,NA,NA,Paleoamphiuma,Siren,4,ML2014,,,,,?,1,?,?,?,?,
Habrosaurus,prodilatus,,84.9,70.6,DinoPark,50,-110.3,USA,,isolated,NA,NA,Habrosaurus,,1,ML2014,,,,,?,1,?,?,?,?,
