,ENA,WNA,NEO,EUR,CASIA,EASIA
Onychodactylus fischeri,0,0,0,0,0,1
Pachyhynobius shangchengensis,0,0,0,0,0,1
Paradactylodon mustersi,0,0,0,0,1,0
Paradactylodon persicus,0,0,0,0,1,0
Paradactylodon gorganensis,0,0,0,0,1,0
Batrachuperus yenyuanensis,0,0,0,0,0,1
Batrachuperus londongensis,0,0,0,0,0,1
Batrachuperus karlschmidti,0,0,0,0,0,1
Pseudohynobius flavomaculatus,0,0,0,0,0,1
Pseudohynobius shuichengensis,0,0,0,0,0,1
Liua shihi,0,0,0,0,0,1
Liua tsinpaensis,0,0,0,0,0,1
Pseudohynobius jinfo,0,0,0,0,0,1
Pseudohynobius kuankuoshuiensis,0,0,0,0,0,1
Hynobius retardatus,0,0,0,0,0,1
Hynobius kimurae,0,0,0,0,0,1
Hynobius fuca,0,0,0,0,0,1
Hynobius glacialis,0,0,0,0,0,1
Hynobius formosanus,0,0,0,0,0,1
Hynobius arisanensis,0,0,0,0,0,1
Hynobius sonani,0,0,0,0,0,1
Hynobius stejnegeri,0,0,0,0,0,1
Hynobius tokyoensis,0,0,0,0,0,1
Hynobius abei,0,0,0,0,0,1
Hynobius takedai,0,0,0,0,0,1
Hynobius katoi,0,0,0,0,0,1
Hynobius hidamontanus,0,0,0,0,0,1
Hynobius amjiensis,0,0,0,0,0,1
Hynobius yiwuensis,0,0,0,0,0,1
Hynobius chinensis,0,0,0,0,0,1
Hynobius maoershanensis,0,0,0,0,0,1
Hynobius guabangshanensis,0,0,0,0,0,1
Hynobius quelpaertensis,0,0,0,0,0,1
Hynobius leechii,0,0,0,0,0,1
Hynobius yangi,0,0,0,0,0,1
Hynobius nebulosus,0,0,0,0,0,1
Hynobius dunni,0,0,0,0,0,1
Hynobius okiensis,0,0,0,0,0,1
Hynobius tsuensis,0,0,0,0,0,1
Pseudobranchus axanthus,1,0,0,0,0,0
Siren intermedia,1,0,0,0,0,0
Dicamptodon tenebrosus,0,1,0,0,0,0
Dicamptodon aterrimus,0,1,0,0,0,0
Salamandrina perspicillata,0,0,0,1,0,0
Salamandra infraimmaculata,0,0,0,0,1,0
Salamandra algira,0,0,0,1,0,0
Salamandra corsica,0,0,0,1,0,0
Salamandra lanzai,0,0,0,1,0,0
Lyciasalamandra atifi,0,0,0,0,1,0
Lyciasalamandra luschani,0,0,0,0,1,0
Lyciasalamandra helverseni,0,0,0,1,0,0
Lyciasalamandra fazilae,0,0,0,0,1,0
Lyciasalamandra flavimembris,0,0,0,0,1,0
Lyciasalamandra antalyana,0,0,0,0,1,0
Lyciasalamandra billae,0,0,0,0,1,0
Pleurodeles nebulosus,0,0,0,1,0,0
Pleurodeles poireti,0,0,0,1,0,0
Echinotriton chinhaiensis,0,0,0,0,0,1
Tylototriton wenxianensis,0,0,0,0,0,1
Tylototriton asperrimus,0,0,0,0,0,1
Tylototriton taliangensis,0,0,0,0,0,1
Tylototriton kweichowensis,0,0,0,0,0,1
Tylototriton verrucosus,0,0,0,0,0,1
Ichthyosaura alpestris,0,0,0,1,0,0
Cynops orphicus,0,0,0,0,0,1
Cynops orientalis,0,0,0,0,0,1
Laotriton laoensis,0,0,0,0,0,1
Paramesotriton caudopunctatus,0,0,0,0,0,1
Paramesotriton zhijinensis,0,0,0,0,0,1
Paramesotriton longliensis,0,0,0,0,0,1
Paramesotriton ermizhaoi,0,0,0,0,0,1
Paramesotriton deloustali,0,0,0,0,0,1
Paramesotriton fuzhongensis,0,0,0,0,0,1
Euproctus platycephalus,0,0,0,1,0,0
Euproctus montanus,0,0,0,1,0,0
Lissotriton helveticus,0,0,0,1,0,0
