tree$tip.label	ENA	WNA	NEO	EUR	CASIA	EASIA
Cryptobranchus_alleganiensis	1	0.001	0.001	0.001	0.001	0.001
Andrias_davidianus	0.001	0.001	0.001	0.001	0.001	1
Andrias_japonicus	0.001	0.001	0.001	0.001	0.001	1
Andrias_scheuchzeri	?	?	?	1	?	?
Andrias_matthewi	?	1	?	?	?	?
Zaissanurus_beliajevae	?	?	?	?	1	?
Aviturus_exsecratus	?	?	?	?	1	?
Ukrainurus_hypsognathus	?	?	?	1	?	?
cfCryptobranchus_saskatchewanensis	?	1	?	?	?	?
Eoscapherpeton_superum	?	?	?	?	1	?
Horezmia_gracilis	?	?	?	?	1	?
Jeholotriton_paradoxus	?	?	?	?	?	1
Pangerpeton_sinensis	?	?	?	?	?	1
Regalerpeton_weichangensis	?	?	?	?	?	1
Chunerpeton_tianyiensis	?	?	?	?	?	1
Onychodactylus_japonicus	0.001	0.001	0.001	0.001	0.001	1
Onychodactylus_fischeri	0.001	0.001	0.001	0.001	0.001	1
Salamandrella_keyserlingii	0.001	0.001	0.001	0.001	1	1
Pachyhynobius_shangchengensis	0.001	0.001	0.001	0.001	0.001	1
Ranodon_sibiricus	0.001	0.001	0.001	0.001	1	0.001
Paradactylodon_mustersi	0.001	0.001	0.001	0.001	1	0.001
Paradactylodon_persicus	0.001	0.001	0.001	0.001	1	0.001
Paradactylodon_gorganensis	0.001	0.001	0.001	0.001	1	0.001
Batrachuperus_yenyuanensis	0.001	0.001	0.001	0.001	0.001	1
Batrachuperus_pinchonii	0.001	0.001	0.001	0.001	0.001	1
Batrachuperus_londongensis	0.001	0.001	0.001	0.001	0.001	1
Batrachuperus_tibetanus	0.001	0.001	0.001	0.001	0.001	1
Batrachuperus_karlschmidti	0.001	0.001	0.001	0.001	0.001	1
Pseudohynobius_flavomaculatus	0.001	0.001	0.001	0.001	0.001	1
Pseudohynobius_shuichengensis	0.001	0.001	0.001	0.001	0.001	1
Liua_shihi	0.001	0.001	0.001	0.001	0.001	1
Liua_tsinpaensis	0.001	0.001	0.001	0.001	0.001	1
Pseudohynobius_jinfo	0.001	0.001	0.001	0.001	0.001	1
Pseudohynobius_kuankuoshuiensis	0.001	0.001	0.001	0.001	0.001	1
Hynobius_retardatus	0.001	0.001	0.001	0.001	0.001	1
Hynobius_kimurae	0.001	0.001	0.001	0.001	0.001	1
Hynobius_boulengeri	0.001	0.001	0.001	0.001	0.001	1
Hynobius_fuca	0.001	0.001	0.001	0.001	0.001	1
Hynobius_glacialis	0.001	0.001	0.001	0.001	0.001	1
Hynobius_formosanus	0.001	0.001	0.001	0.001	0.001	1
Hynobius_arisanensis	0.001	0.001	0.001	0.001	0.001	1
Hynobius_sonani	0.001	0.001	0.001	0.001	0.001	1
Hynobius_lichenatus	0.001	0.001	0.001	0.001	0.001	1
Hynobius_stejnegeri	0.001	0.001	0.001	0.001	0.001	1
Hynobius_tokyoensis	0.001	0.001	0.001	0.001	0.001	1
Hynobius_abei	0.001	0.001	0.001	0.001	0.001	1
Hynobius_takedai	0.001	0.001	0.001	0.001	0.001	1
Hynobius_nigrescens	0.001	0.001	0.001	0.001	1	0.001
Hynobius_katoi	0.001	0.001	0.001	0.001	0.001	1
Hynobius_hidamontanus	0.001	0.001	0.001	0.001	0.001	1
Hynobius_amjiensis	0.001	0.001	0.001	0.001	0.001	1
Hynobius_naevius	0.001	0.001	0.001	0.001	0.001	1
Hynobius_yiwuensis	0.001	0.001	0.001	0.001	0.001	1
Hynobius_chinensis	0.001	0.001	0.001	0.001	0.001	1
Hynobius_maoershanensis	0.001	0.001	0.001	0.001	0.001	1
Hynobius_guabangshanensis	0.001	0.001	0.001	0.001	0.001	1
Hynobius_quelpaertensis	0.001	0.001	0.001	0.001	0.001	1
Hynobius_leechii	0.001	0.001	0.001	0.001	0.001	1
Hynobius_yangi	0.001	0.001	0.001	0.001	0.001	1
Hynobius_nebulosus	0.001	0.001	0.001	0.001	0.001	1
Hynobius_dunni	0.001	0.001	0.001	0.001	0.001	1
Hynobius_okiensis	0.001	0.001	0.001	0.001	0.001	1
Hynobius_tsuensis	0.001	0.001	0.001	0.001	0.001	1
Parahynobius_kordosi	?	?	?	1	?	?
Liaoxitriton_daohugouensis	?	?	?	?	?	1
Liaoxitriton_zhongjiani	?	?	?	?	?	1
Iridotriton_hechti	?	1	?	?	?	?
Nesovtriton_mynbulakensis	?	?	?	?	1	?
Kiyatriton_leshchinsktyi	?	?	?	?	1	?
Laccotriton_subsolanus	?	?	?	?	?	1
Sinerpeton_fengshanensis	?	?	?	?	?	1
Opithisthotriton_kayi	?	1	?	?	?	?
Batrachosauroides_gotoi	?	1	?	?	?	?
Batrachosauroides_dissimulans	1	?	?	?	?	?
Palaeoproteus_gallicus	?	?	?	1	?	?
Palaeoproteus_klatti	?	?	?	1	?	?
