Species,Catalog_num,SVL,Head.width
Amphiuma_tridactylum,MCZ A-4079,546,31.29
Amphiuma_tridactylum,MCZ A-144,341.36,19.41
Amphiuma_tridactylum,MCZ A-272,611.17,39.07
Amphiuma_means,MCZ A-99850,335.6,16.88
Amphiuma_means,MCZ A-99849,380,15.64
Amphiuma_means,MCZ A-16299,288,15.35
Amphiuma_means,MCZ A-9470,307.2,12.69
Siren_lacertina,MCZ A-1445,430,40.93
Siren_lacertina,MCZ A-120184,439,40.33
Siren_lacertina,MCZ A-1741,405,30.85
Pseudobranchus_striatus,MCZ A-5916,86.17,5.06
Pseudobranchus_striatus,MCZ A-107678,77.1,5.07
Pseudobranchus_striatus,MCZ A- 33930,94.32,5.29
Salamandrina_terdigitata,MCZ A-1948,29.44,6.02
Salamandrina_terdigitata,MCZ A-115367,32.06,6.09
Salamandrina_terdigitata,MCZ A-115368,32.48,6.24
Neurergus_crocatus,MCZ A-24182,66.95,15.76
Neurergus_crocatus,MCZ A-99110,63.54,13.57
Neurergus_crocatus,MCZ A-28278,54.95,10.73
Chioglossa_lusitanica,MCZ A-1925,35.5,5.79
Chioglossa_lusitanica,MCZ A-8068,39.42,6.03
Chioglossa_lusitanica,MCZ A-8066,44.48,6.3
Chioglossa_lusitanica,MCZ A-8063,32.57,5.49
Chioglossa_lusitanica,MCZ A-8065,34.62,5.33
Chioglossa_lusitanica,MCZ A-7908,37.97,5.43
Chioglossa_lusitanica,MCZ A-8067,32.56,5.56
Euprotucs_platycephalus,MCZ A-2167,51.25,8.89
Euprotucs_platycephalus,MCZ A-99107,48.62,8.36
Euproctus_asper,MCZ A-111783,68.8,13.18
Euproctus_asper,MCZ A-111784,71.98,12.26
Euproctus_asper,MCZ A-111785,70.8,14.52
Euproctus_asper,MCZ A-111786,69.59,12.15
Proteus_anguineus,MCZ A-3973,140.03,13.56
Necturus_punctatus,MCZ A-1553,94.1,13.01
Necturus_punctatus,MCZ A-119510,85.64,11.72
Necturus_punctatus,MCZ A-5877,105.48,15.67
Necturus_maculosus,MCZ A-99038,159.77,29.75
Necturus_maculosus,MCZ A-99039,149.76,27.74
Necturus_maculosus,MCZ A-1849,253.49,46.92
Necturus_maculosus,MCZ A-125144,230.03,43.86
Necturus_beyeri,MCZ A-30421,120.81,22.5
Necturus_beyeri,MCZ A-17733,136.55,24.59
Necturus_beyeri,MCZ A-17732,122.76,21.28
Liua_wushanensis,MCZ A-101041,86.93,17.16
Salamandrella_keyserlingii,MCZ A_15430,58.46,9.04
Salamandrella_keyserlingii,MCZ A-15433,53.25,8.27
Batrachuperus_tibetanus,MCZ A-101039,84.18,16.29
Batrachuperus_tibetanus,MCZ A-101040,70.66,13.58
Batrachuperus_tibetanus,MCZ A-17426,76.14,13.97
Hynobius_boulengeri,MCZ A-22501,66.42,10.44
Hynobius_boulengeri,MCZ A-22502,66.12,12.77
Hynobius_leechi,MCZ A-8963,45.5,7.69
Hynobius_leechi,MCZ A-8962,42.67,7.74
Hynobius_naevius,MCZ A-7365,72.52,11.17
Hynobius_naevius,MCZ A-22506,57.66,10.49
Pseudoeurycea_lineolus,MCZ A-24751,38.55,3.69
Pseudoeurycea_lineolus,MCZ A-24752,37.37,3.54
Pseudoeurycea_lineolus,MCZ A-8381,33.14,3.82
Karsenia_koreana,MCZ A-136691,40.1,6.48
Plethodon_petraeus,MCZ A_117980,75.24,12.46
Plethodon_petraeus,MCZ A_117981,64.24,9.97
Plethodon_petraeus,MCZ A_117982,73.98,11.83
Cryptobranchus_alleganiensis,,NA,NA
Andrias_davidianus,,NA,NA
Andrias_japonicus,,NA,NA
Onychodactylus_japonicus,,10.21,78.03
Onychodactylus_japonicus,,8.12,63.61
Onychodactylus_japonicus,,9.2,71.72
Onychodactylus_japonicus,,8.36,64.78
Ranodon_sibiricus,,14.21,75.83
Ranodon_sibiricus,,18.33,98.54
Ranodon_sibiricus,,15.01,75.49
Batrachuperus_pinchonii,,12.95,74.6
Batrachuperus_pinchonii,,13.86,70.84
Batrachuperus_pinchonii,,11.29,73.7
Batrachuperus_pinchonii,,11.71,77.05
Batrachuperus_pinchonii,,10.89,78.73
Hynobius_lichenatus,,9.55,52.58
Hynobius_lichenatus,,10.54,64.49
Hynobius_lichenatus,,10.2,57.76
Hynobius_lichenatus,,9.97,57.5
Hynobius_lichenatus,,10.94,65.4
Hynobius_nigrescens,,12.37,72.46
Hynobius_nigrescens,,13.26,74.77
Hynobius_nigrescens,,13.84,72.96
Hynobius_nigrescens,,13.58,75.07
Hynobius_nigrescens,,12.46,66.61
Dicamptodon_ensatus,,20.08,111.35
Dicamptodon_ensatus,,20.37,114.14
Dicamptodon_ensatus,,18.11,99.55
Dicamptodon_ensatus,,21.84,115.82
Dicamptodon_ensatus,,21.58,123.65
Dicamptodon_copei,,13.34,80.43
Dicamptodon_copei,,12.64,88.56
Dicamptodon_copei,,12.47,79.91
Dicamptodon_copei,,12.42,76.73
Dicamptodon_copei,,13.91,85.95
Ambystoma_talpoideum,,12.2,59.34
Ambystoma_talpoideum,,12.4,58.48
Ambystoma_talpoideum,,13.01,61.1
Ambystoma_talpoideum,,13.2,53.24
Ambystoma_talpoideum,,11.33,53.12
Ambystoma_gracile,,19.26,94
Ambystoma_gracile,,21.19,104.7
Ambystoma_gracile,,18.82,93.71
Ambystoma_gracile,,18.6,87.03
Ambystoma_gracile,,20.43,101.37
Ambystoma_opacum,,8.38,44.1
Ambystoma_opacum,,9.86,60.72
Ambystoma_opacum,,10.5,56.49
Ambystoma_opacum,,10.14,61.62
Ambystoma_opacum,,9.46,56.17
Ambystoma_cingulatum,,7.16,61.07
Ambystoma_cingulatum,,7.3,57.05
Ambystoma_cingulatum,,7.99,63.24
Ambystoma_cingulatum,,7.57,64.48
Ambystoma_cingulatum,,7.5,59.62
Ambystoma_maculatum,,17.15,106.65
Ambystoma_maculatum,,14.34,87.59
Ambystoma_maculatum,,14.58,90.35
Ambystoma_maculatum,,16.37,108.93
Ambystoma_maculatum,,14.66,89.5
Ambystoma_jeffersonianum,,12.39,91.45
Ambystoma_jeffersonianum,,13.24,87.46
Ambystoma_jeffersonianum,,12.79,90.19
Ambystoma_jeffersonianum,,12.62,82.45
Ambystoma_jeffersonianum,,13.04,82.56
Ambystoma_laterale,,7.02,44.69
Ambystoma_laterale,,6,40.35
Ambystoma_laterale,,9.66,62.92
Ambystoma_laterale,,5.49,33.59
Ambystoma_laterale,,7.44,55.75
Ambystoma_mabeei,,8.49,59.97
Ambystoma_mabeei,,8.71,65.2
Ambystoma_mabeei,,8.44,62.04
Ambystoma_mabeei,,8.05,58.43
Ambystoma_mabeei,,8.04,62.74
Ambystoma_texanum,,9.78,81.8
Ambystoma_texanum,,8,70.03
Ambystoma_texanum,,9.76,89.88
Ambystoma_texanum,,9.54,81.59
Ambystoma_texanum,,10.79,88.27
Ambystoma_barbouri,,8.88,76.95
Ambystoma_barbouri,,10.7,91.36
Ambystoma_barbouri,,8.62,67.32
Ambystoma_barbouri,,10.62,86.11
Ambystoma_barbouri,,8.94,65.32
Ambystoma_macrodactylum,,9.3,71.22
Ambystoma_macrodactylum,,9.14,62.25
Ambystoma_macrodactylum,,9.12,65.68
Ambystoma_macrodactylum,,9.45,62.02
Ambystoma_macrodactylum,,9.67,68.83
Ambystoma_californiense,,18.12,94.14
Ambystoma_californiense,,18.05,102.02
Ambystoma_californiense,,18.81,100.78
Ambystoma_californiense,,19.65,103.18
Ambystoma_californiense,,18.89,97.85
Ambystoma_tigrinum,,17.61,105.86
Ambystoma_tigrinum,,18.05,99.97
Ambystoma_tigrinum,,16.87,96.41
Ambystoma_tigrinum,,19.39,109.43
Ambystoma_tigrinum,,22.11,109.81
Ambystoma_ordinarium,,16.22,79.5
Ambystoma_ordinarium,,15.13,71.8
Ambystoma_ordinarium,,13.37,70.34
Ambystoma_ordinarium,,16.52,78.8
Ambystoma_ordinarium,,16.67,71.58
Ambystoma_mexicanum,,29.27,118.99
Ambystoma_mexicanum,,28.88,114.04
Ambystoma_mexicanum,,21.69,87.81
Ambystoma_mexicanum,,20.59,80.51
Ambystoma_mexicanum,,22.39,85.39
Ambystoma_dumerilii,,41.85,132.85
Ambystoma_dumerilii,,44.49,138.44
Ambystoma_dumerilii,,39.95,120.84
Ambystoma_dumerilii,,34.59,98.74
Ambystoma_dumerilii,,44.75,133.76
Ambystoma_andersoni,,30.5,114.06
Ambystoma_andersoni,,32.17,121.44
Ambystoma_andersoni,,28.46,99.96
Ambystoma_andersoni,,29.82,94.44
Ambystoma_andersoni,,27.14,95.14
Salamandrina_terdigitata,,6.1,36.2
Salamandrina_terdigitata,,5.75,31.91
Salamandrina_terdigitata,,5.42,36.86
Mertensiella_caucasica,,9.53,70.11
Mertensiella_caucasica,,9.86,68
Salamandra_salamandra,,16.78,103.24
Salamandra_salamandra,,19.59,109.53
Salamandra_salamandra,,17.47,94.17
Salamandra_salamandra,,14.72,76.62
Salamandra_salamandra,,15.09,76.18
Salamandra_atra,,13.15,76.16
Salamandra_atra,,11.13,75.1
Salamandra_atra,,12.22,66.8
Salamandra_atra,,12.41,68.71
Pleurodeles_waltl,,16.06,75.52
Pleurodeles_waltl,,16.12,75.73
Pleurodeles_waltl,,16.74,75.09
Pleurodeles_waltl,,14.89,77.15
Pleurodeles_waltl,,12.25,70.27
Echinotriton_andersoni,,7.8,31.38
Echinotriton_andersoni,,8.1,32.73
Echinotriton_andersoni,,8.34,31.3
Echinotriton_andersoni,,6.92,28.66
Echinotriton_andersoni,,7.37,28.47
Tylototriton_shanjing,,15.47,81.04
Tylototriton_shanjing,,17.66,80.92
Tylototriton_shanjing,,15,72.74
Tylototriton_shanjing,,17.48,86.54
Tylototriton_shanjing,,18.06,82.4
Notophthalmus_meridionalis,,9.13,45.98
Notophthalmus_meridionalis,,9.87,49.52
Notophthalmus_meridionalis,,9.2,44.19
Notophthalmus_meridionalis,,9.03,45.46
Notophthalmus_meridionalis,,9.33,49.09
Notophthalmus_viridescens,,7.46,42.09
Notophthalmus_viridescens,,7.81,47.04
Notophthalmus_viridescens,,7.64,40.94
Notophthalmus_viridescens,,7.43,43.08
Notophthalmus_viridescens,,8.83,49.49
Notophthalmus_perstriatus,,5.05,30.29
Notophthalmus_perstriatus,,5.7,36.69
Notophthalmus_perstriatus,,5,29.56
Notophthalmus_perstriatus,,4.97,28.54
Notophthalmus_perstriatus,,5.21,30.91
Taricha_rivularis,,14.7,76.96
Taricha_rivularis,,14.34,74.63
Taricha_rivularis,,14.27,75.02
Taricha_rivularis,,14.98,79.27
Taricha_rivularis,,14.97,74.31
Taricha_granulosa,,15.08,76.28
Taricha_granulosa,,15.8,73.54
Taricha_granulosa,,14.67,73.32
Taricha_granulosa,,16.18,78.68
Taricha_granulosa,,15.31,78.74
Taricha_torosa,,18.09,89.26
Taricha_torosa,,14.54,75.8
Taricha_torosa,,14.08,69.05
Taricha_torosa,,13.73,74.91
Taricha_torosa,,14.59,71.42
Cynops_pyrrhogaster,,12.76,73.35
Cynops_pyrrhogaster,,16.51,84.82
Cynops_pyrrhogaster,,11.52,65.36
Cynops_pyrrhogaster,,12.57,60.96
Cynops_pyrrhogaster,,12.32,65.11
Cynops_ensicauda,,12.94,66.34
