Family,Species,Head_Width,SVL
Cryptobranchidae,Cryptobranchus_alleganiensis,,
Cryptobranchidae,Andrias_davidianus,,
Cryptobranchidae,Andrias_japonicus,,
Hynobiidae,Onychodactylus_japonicus,10.21,78.03
Hynobiidae,Onychodactylus_japonicus,8.12,63.61
Hynobiidae,Onychodactylus_japonicus,9.2,71.72
Hynobiidae,Onychodactylus_japonicus,8.36,64.78
Hynobiidae,Ranodon_sibiricus,14.21,75.83
Hynobiidae,Ranodon_sibiricus,18.33,98.54
Hynobiidae,Ranodon_sibiricus,15.01,75.49
Hynobiidae,Batrachuperus_pinchonii,12.95,74.6
Hynobiidae,Batrachuperus_pinchonii,13.86,70.84
Hynobiidae,Batrachuperus_pinchonii,11.29,73.7
Hynobiidae,Batrachuperus_pinchonii,11.71,77.05
Hynobiidae,Batrachuperus_pinchonii,10.89,78.73
Hynobiidae,Hynobius_lichenatus,9.55,52.58
Hynobiidae,Hynobius_lichenatus,10.54,64.49
Hynobiidae,Hynobius_lichenatus,10.2,57.76
Hynobiidae,Hynobius_lichenatus,9.97,57.5
Hynobiidae,Hynobius_lichenatus,10.94,65.4
Hynobiidae,Hynobius_nigrescens,12.37,72.46
Hynobiidae,Hynobius_nigrescens,13.26,74.77
Hynobiidae,Hynobius_nigrescens,13.84,72.96
Hynobiidae,Hynobius_nigrescens,13.58,75.07
Hynobiidae,Hynobius_nigrescens,12.46,66.61
Ambystomatidae,Dicamptodon_ensatus,20.08,111.35
Ambystomatidae,Dicamptodon_ensatus,20.37,114.14
Ambystomatidae,Dicamptodon_ensatus,18.11,99.55
Ambystomatidae,Dicamptodon_ensatus,21.84,115.82
Ambystomatidae,Dicamptodon_ensatus,21.58,123.65
Ambystomatidae,Dicamptodon_copei,13.34,80.43
Ambystomatidae,Dicamptodon_copei,12.64,88.56
Ambystomatidae,Dicamptodon_copei,12.47,79.91
Ambystomatidae,Dicamptodon_copei,12.42,76.73
Ambystomatidae,Dicamptodon_copei,13.91,85.95
Ambystomatidae,Ambystoma_talpoideum,12.2,59.34
Ambystomatidae,Ambystoma_talpoideum,12.4,58.48
Ambystomatidae,Ambystoma_talpoideum,13.01,61.1
Ambystomatidae,Ambystoma_talpoideum,13.2,53.24
Ambystomatidae,Ambystoma_talpoideum,11.33,53.12
Ambystomatidae,Ambystoma_gracile,19.26,94
Ambystomatidae,Ambystoma_gracile,21.19,104.7
Ambystomatidae,Ambystoma_gracile,18.82,93.71
Ambystomatidae,Ambystoma_gracile,18.6,87.03
Ambystomatidae,Ambystoma_gracile,20.43,101.37
Ambystomatidae,Ambystoma_opacum,8.38,44.1
Ambystomatidae,Ambystoma_opacum,9.86,60.72
Ambystomatidae,Ambystoma_opacum,10.5,56.49
Ambystomatidae,Ambystoma_opacum,10.14,61.62
Ambystomatidae,Ambystoma_opacum,9.46,56.17
Ambystomatidae,Ambystoma_cingulatum,7.16,61.07
Ambystomatidae,Ambystoma_cingulatum,7.3,57.05
Ambystomatidae,Ambystoma_cingulatum,7.99,63.24
Ambystomatidae,Ambystoma_cingulatum,7.57,64.48
Ambystomatidae,Ambystoma_cingulatum,7.5,59.62
Ambystomatidae,Ambystoma_maculatum,17.15,106.65
Ambystomatidae,Ambystoma_maculatum,14.34,87.59
Ambystomatidae,Ambystoma_maculatum,14.58,90.35
Ambystomatidae,Ambystoma_maculatum,16.37,108.93
Ambystomatidae,Ambystoma_maculatum,14.66,89.5
Ambystomatidae,Ambystoma_jeffersonianum,12.39,91.45
Ambystomatidae,Ambystoma_jeffersonianum,13.24,87.46
Ambystomatidae,Ambystoma_jeffersonianum,12.79,90.19
Ambystomatidae,Ambystoma_jeffersonianum,12.62,82.45
Ambystomatidae,Ambystoma_jeffersonianum,13.04,82.56
Ambystomatidae,Ambystoma_laterale,7.02,44.69
Ambystomatidae,Ambystoma_laterale,6,40.35
Ambystomatidae,Ambystoma_laterale,9.66,62.92
Ambystomatidae,Ambystoma_laterale,5.49,33.59
Ambystomatidae,Ambystoma_laterale,7.44,55.75
Ambystomatidae,Ambystoma_mabeei,8.49,59.97
Ambystomatidae,Ambystoma_mabeei,8.71,65.2
Ambystomatidae,Ambystoma_mabeei,8.44,62.04
Ambystomatidae,Ambystoma_mabeei,8.05,58.43
Ambystomatidae,Ambystoma_mabeei,8.04,62.74
Ambystomatidae,Ambystoma_texanum,9.78,81.8
Ambystomatidae,Ambystoma_texanum,8,70.03
Ambystomatidae,Ambystoma_texanum,9.76,89.88
Ambystomatidae,Ambystoma_texanum,9.54,81.59
Ambystomatidae,Ambystoma_texanum,10.79,88.27
Ambystomatidae,Ambystoma_barbouri,8.88,76.95
Ambystomatidae,Ambystoma_barbouri,10.7,91.36
Ambystomatidae,Ambystoma_barbouri,8.62,67.32
Ambystomatidae,Ambystoma_barbouri,10.62,86.11
Ambystomatidae,Ambystoma_barbouri,8.94,65.32
Ambystomatidae,Ambystoma_macrodactylum,9.3,71.22
Ambystomatidae,Ambystoma_macrodactylum,9.14,62.25
Ambystomatidae,Ambystoma_macrodactylum,9.12,65.68
Ambystomatidae,Ambystoma_macrodactylum,9.45,62.02
Ambystomatidae,Ambystoma_macrodactylum,9.67,68.83
Ambystomatidae,Ambystoma_californiense,18.12,94.14
Ambystomatidae,Ambystoma_californiense,18.05,102.02
Ambystomatidae,Ambystoma_californiense,18.81,100.78
Ambystomatidae,Ambystoma_californiense,19.65,103.18
Ambystomatidae,Ambystoma_californiense,18.89,97.85
Ambystomatidae,Ambystoma_tigrinum,17.61,105.86
Ambystomatidae,Ambystoma_tigrinum,18.05,99.97
Ambystomatidae,Ambystoma_tigrinum,16.87,96.41
Ambystomatidae,Ambystoma_tigrinum,19.39,109.43
Ambystomatidae,Ambystoma_tigrinum,22.11,109.81
Ambystomatidae,Ambystoma_ordinarium,16.22,79.5
Ambystomatidae,Ambystoma_ordinarium,15.13,71.8
Ambystomatidae,Ambystoma_ordinarium,13.37,70.34
Ambystomatidae,Ambystoma_ordinarium,16.52,78.8
Ambystomatidae,Ambystoma_ordinarium,16.67,71.58
Ambystomatidae,Ambystoma_mexicanum,29.27,118.99
Ambystomatidae,Ambystoma_mexicanum,28.88,114.04
Ambystomatidae,Ambystoma_mexicanum,21.69,87.81
Ambystomatidae,Ambystoma_mexicanum,20.59,80.51
Ambystomatidae,Ambystoma_mexicanum,22.39,85.39
Ambystomatidae,Ambystoma_dumerilii,41.85,132.85
Ambystomatidae,Ambystoma_dumerilii,44.49,138.44
Ambystomatidae,Ambystoma_dumerilii,39.95,120.84
Ambystomatidae,Ambystoma_dumerilii,34.59,98.74
Ambystomatidae,Ambystoma_dumerilii,44.75,133.76
Ambystomatidae,Ambystoma_andersoni,30.5,114.06
Ambystomatidae,Ambystoma_andersoni,32.17,121.44
Ambystomatidae,Ambystoma_andersoni,28.46,99.96
Ambystomatidae,Ambystoma_andersoni,29.82,94.44
Ambystomatidae,Ambystoma_andersoni,27.14,95.14
Salamandridae,Salamandrina_terdigitata,6.1,36.2
Salamandridae,Salamandrina_terdigitata,5.75,31.91
Salamandridae,Salamandrina_terdigitata,5.42,36.86
Salamandridae,Mertensiella_caucasica,9.53,70.11
Salamandridae,Mertensiella_caucasica,9.86,68
Salamandridae,Salamandra_salamandra,16.78,103.24
Salamandridae,Salamandra_salamandra,19.59,109.53
Salamandridae,Salamandra_salamandra,17.47,94.17
Salamandridae,Salamandra_salamandra,14.72,76.62
Salamandridae,Salamandra_salamandra,15.09,76.18
Salamandridae,Salamandra_atra,13.15,76.16
Salamandridae,Salamandra_atra,11.13,75.1
Salamandridae,Salamandra_atra,12.22,66.8
Salamandridae,Salamandra_atra,12.41,68.71
Salamandridae,Pleurodeles_waltl,16.06,75.52
Salamandridae,Pleurodeles_waltl,16.12,75.73
Salamandridae,Pleurodeles_waltl,16.74,75.09
Salamandridae,Pleurodeles_waltl,14.89,77.15
Salamandridae,Pleurodeles_waltl,12.25,70.27
Salamandridae,Echinotriton_andersoni,7.8,31.38
Salamandridae,Echinotriton_andersoni,8.1,32.73
Salamandridae,Echinotriton_andersoni,8.34,31.3
Salamandridae,Echinotriton_andersoni,6.92,28.66
Salamandridae,Echinotriton_andersoni,7.37,28.47
Salamandridae,Tylototriton_shanjing,15.47,81.04
Salamandridae,Tylototriton_shanjing,17.66,80.92
Salamandridae,Tylototriton_shanjing,15,72.74
Salamandridae,Tylototriton_shanjing,17.48,86.54
Salamandridae,Tylototriton_shanjing,18.06,82.4
Salamandridae,Notophthalmus_meridionalis,9.13,45.98
Salamandridae,Notophthalmus_meridionalis,9.87,49.52
Salamandridae,Notophthalmus_meridionalis,9.2,44.19
Salamandridae,Notophthalmus_meridionalis,9.03,45.46
Salamandridae,Notophthalmus_meridionalis,9.33,49.09
Salamandridae,Notophthalmus_viridescens,7.46,42.09
Salamandridae,Notophthalmus_viridescens,7.81,47.04
Salamandridae,Notophthalmus_viridescens,7.64,40.94
Salamandridae,Notophthalmus_viridescens,7.43,43.08
Salamandridae,Notophthalmus_viridescens,8.83,49.49
Salamandridae,Notophthalmus_perstriatus,5.05,30.29
Salamandridae,Notophthalmus_perstriatus,5.7,36.69
Salamandridae,Notophthalmus_perstriatus,5,29.56
Salamandridae,Notophthalmus_perstriatus,4.97,28.54
Salamandridae,Notophthalmus_perstriatus,5.21,30.91
Salamandridae,Taricha_rivularis,14.7,76.96
Salamandridae,Taricha_rivularis,14.34,74.63
Salamandridae,Taricha_rivularis,14.27,75.02
Salamandridae,Taricha_rivularis,14.98,79.27
Salamandridae,Taricha_rivularis,14.97,74.31
Salamandridae,Taricha_granulosa,15.08,76.28
Salamandridae,Taricha_granulosa,15.8,73.54
Salamandridae,Taricha_granulosa,14.67,73.32
Salamandridae,Taricha_granulosa,16.18,78.68
Salamandridae,Taricha_granulosa,15.31,78.74
Salamandridae,Taricha_torosa,18.09,89.26
Salamandridae,Taricha_torosa,14.54,75.8
Salamandridae,Taricha_torosa,14.08,69.05
Salamandridae,Taricha_torosa,13.73,74.91
Salamandridae,Taricha_torosa,14.59,71.42
Salamandridae,Cynops_pyrrhogaster,12.76,73.35
