generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0793727,0.001,0.0360529,0
500000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0191014,0.00635999,0.0130585,0
500000,Necturus_lewisi,Necturus_punctatus,174.602,0.124672,0.0114206,0.172296,0
500000,Necturus_lewisi,Necturus_punctatus,182.48,0.0987501,0.00547178,0.0980317,0
500000,Euproctus_platycephalus,NA,201.996,0.0276058,-0.0107856,0.0243725,0
500000,Tylototriton_wenxianensis,NA,205.225,0.0350161,-0.00889135,0.0921956,0
500000,Salamandrina_perspicillata,Mertensiella_caucasica,82.5736,0.0502456,0.00798372,0.00202749,0
500000,Dicamptodon_tenebrosus,Dicamptodon_ensatus,135.751,0.113427,-0.000967512,0.102375,0
500000,Dicamptodon_tenebrosus,Ambystoma_talpoideum,106.398,0.087565,-0.000847215,0.0105627,0
1000000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0190756,0.0047339,0.0133016,0
1000000,Mertensiella_caucasica,Pleurodeles_waltl,141.536,0.0790991,0.00665,0.0122944,0
1000000,Ambystoma_gracile,Ambystoma_opacum,170.569,0.135409,-0.00279972,0.00888439,0
1500000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0167351,0.00694829,0.00718656,0
1500000,Rhyacotriton_cascadae,Rhyacotriton_kezeri,118.972,0.0554346,0.00266016,0.0379381,0
1500000,Lyciasalamandra_fazilae,NA,205.248,0.134722,0.000285224,0.313195,0
1500000,Salamandra_salamandra,NA,205.905,0.0261369,-0.00353466,0.0637553,0
1500000,Gyrinophilus_porphyriticus,NA,184.592,0.0479022,0.00446313,0.0671562,0
1500000,Chioglossa_lusitanica,NA,200.744,0.0988873,0.000469774,0.0704037,0
1500000,Salamandrina_perspicillata,Mertensiella_caucasica,133.229,0.0578373,0.00705982,0.0128512,0
1500000,Ambystoma_gracile,Ambystoma_opacum,176.634,0.209417,-0.013369,0.0151121,0
1500000,Salamandrella_keyserlingii,NA,95.5377,0.0388422,0.00146084,0.0115819,0
