generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0793727,0.001,0.0360529,0
50000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0399584,0.00224146,0.037884,0
50000,Pleurodeles_waltl,Notophthalmus_meridionalis,145.031,0.17585,-0.00618172,0.0850979,0
50000,Karaurus_sharovi,NA,57.7873,0.0276647,-0.00561389,0.0798261,0
50000,Ambystoma_opacum,Ambystoma_cingulatum,189.058,0.0924253,0.000193291,0.0326119,0
100000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0658732,-0.00299074,0.0426873,0
100000,Necturus_beyeri,Necturus_alabamensis,203.316,0.101165,0.00246716,0.00478184,0
100000,Nesovtriton_mynbulakensis,NA,115.373,0.0279334,-0.01021,0.10389,0
100000,Necturus_punctatus,Necturus_beyeri,194.504,0.0513237,0.00133056,0.00733731,0
100000,Pleurodeles_waltl,Notophthalmus_meridionalis,146.302,0.128602,0.000290371,0.0814793,0
100000,Lyciasalamandra_fazilae,NA,208.528,0.182583,-0.0132411,0.0321548,0
100000,Ambystoma_laterale,NA,200.253,0.23487,0.000869604,0.0198622,0
100000,Salamandra_infraimmaculata,Lyciasalamandra_atifi,176.55,0.0905285,-0.00422017,0.017862,0
100000,Ambystoma_talpoideum,Ambystoma_gfs,166.424,0.110512,-0.00599338,0.0464964,0
100000,Pseudobranchus_vetustus,NA,191.86,0.0330975,0.00126832,0.114316,0
100000,Opithisthotriton_kayi,Prodesmodon_copei,121.013,0.0980033,-0.0038158,0.0764255,0
100000,Liaoxitriton_zhongjiani,NA,95.0372,0.00290237,-0.00163907,0.0464058,0
150000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0544519,0.000260936,0.0445338,0
150000,Proteus_anguinus,Orthophyia_longa,130.065,0.129157,0.00828429,0.133069,0
150000,Mertensiella_caucasica,Phosphotriton_sigei,141.668,0.184345,-0.00504373,0.0841518,0
150000,Ambystoma_opacum,Ambystoma_cingulatum,189.007,0.108848,0.000231015,0.0140314,0
200000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0696446,-0.00112165,0.058784,0
200000,Amphiuma_tridactylum,Amphiuma_pholeter,194.536,0.106959,-0.00469699,0.106896,0
200000,Proteus_anguinus,Orthophyia_longa,149.737,0.0768776,-0.00814327,0.105307,0
200000,Pleurodeles_waltl,Pleurodeles_cf.waltl,199.716,0.0886267,-0.0115273,0.0903989,0
200000,Lyciasalamandra_helverseni,NA,210.167,0.150536,-0.00635946,0.0123732,0
200000,Mertensiella_caucasica,Salamandra_infraimmaculata,148.066,0.0906424,-0.00107933,0.0401272,0
200000,Mertensiella_caucasica,Phosphotriton_sigei,142.576,0.157768,-0.00217335,0.0848606,0
200000,Ambystoma_gracile,Ambystoma_opacum,178.083,0.0695095,0.0176481,0.00497568,0
200000,Chioglossa_lusitanica,NA,199.283,0.0302318,-0.000608544,0.0406322,0
200000,Siren_hesterna,NA,193.861,0.0666312,-0.006534,0.0807347,0
200000,Peratosauroides_problematica,NA,170.193,0.104545,0.00539296,0.145497,0
200000,Laccotriton_subsolanus,NA,55.1408,0.0342862,-0.00346138,0.105609,0
200000,Ukrainurus_hypsognathus,NA,185.53,0.052079,0.00478926,0.162598,0
250000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0657968,-0.000974336,0.0482724,0
250000,Scapherpeton_tectum,Piceoerpeton_naylori,141.81,0.104172,-0.00211871,0.0943562,0
250000,Amphiuma_tridactylum,Proamphiuma_cretacea,88.2217,0.10176,-0.00360857,0.0438276,0
250000,Salamandra_infraimmaculata,NA,207.388,0.0227016,-0.00125073,0.0392577,0
250000,Paramesotriton_guangxiensis,NA,210.732,0.00399493,-0.000370578,0.23901,0
250000,Calotriton_asper,Calotriton_arnoldi,194.482,0.0401107,-0.00367667,0.00406389,0
250000,Neurergus_kaiseri,NA,208.141,0.0627095,0.00152121,0.0781508,0
250000,Salamandrina_perspicillata,Archaeotriton_basalticus,146.646,0.122421,-0.00471458,0.0937223,0
250000,Salamandrina_perspicillata,Mertensiella_caucasica,101.565,0.179454,-0.00670801,0.0689701,0
250000,Ambystoma_gracile,Ambystoma_opacum,177.376,0.0757204,-0.00264526,0.0220778,0
300000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0649397,-0.00188788,0.0439918,0
300000,Cynops_pyrrhogaster,Laotriton_laoensis,186.683,0.216162,-0.00337334,0.11473,0
300000,Pachytriton_brevipes,NA,209.531,0.065141,0.00254487,0.0816085,0
300000,Cynops_cyanurus,NA,209.522,0.145469,-0.0121375,0.080795,0
300000,Ambystoma_barbouri,NA,206.115,0.0279201,-0.00741182,0.0424019,0
300000,Ambystoma_minshalli,NA,183.267,0.0256299,0.00555527,0.0788274,0
300000,Mertensiella_caucasica,NA,187.069,0.0265598,0.0025312,0.0627587,0
300000,Salamandrina_perspicillata,Salamandrina_terdigitata,187.979,0.0256738,-0.00294985,0.0175487,0
300000,Tylototriton_asperrimus,NA,201.198,0.123757,0.00554917,0.233511,0
300000,Salamandrina_perspicillata,Mertensiella_caucasica,132.037,0.197275,-0.00659548,0.100078,0
300000,Ambystoma_gfs,NA,172.189,0.0805418,0.00366876,0.0343301,0
300000,Ambystoma_gracile,Ambystoma_opacum,181.735,0.123809,-0.00512774,0.0108099,0
300000,Ambystoma_talpoideum,NA,175.579,0.00483473,-0.00360008,0.00188829,0
350000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0704326,-0.00296193,0.0469883,0
350000,Valdotriton_gracilis,NA,93.3776,0.0703528,0.00575465,0.0914492,0
350000,Salamandrina_perspicillata,Mertensiella_caucasica,95.3212,0.164853,-0.00471032,0.0635633,0
350000,Ambystoma_opacum,Ambystoma_cingulatum,185.784,0.113795,-0.000158379,0.00943499,0
400000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0465267,-0.000665105,0.0388558,0
400000,Beiyanerpeton_jianpingensis,NA,13.0095,0.0194473,0.00377442,0.0182698,0
400000,Ommatriton_roehrsi,NA,202.181,0.0438863,0.00855188,0.155453,0
400000,Pleurodeles_nebulosus,NA,207.582,0.142252,0.000843252,0.0288531,0
400000,Pleurodeles_waltl,Notophthalmus_meridionalis,158.491,0.16478,-0.00439799,0.101702,0
400000,Salamandra_infraimmaculata,Salamandra_sansaniensis,188.278,0.055978,0.00267253,0.144247,0
400000,Ambystoma_gfs,NA,202.544,0.0125844,0.00321133,0.0610186,0
400000,Necturus_beyeri,NA,209.593,0.00897813,-0.00447414,0.0232362,0
400000,Ambystoma_gracile,Ambystoma_opacum,181.294,0.149998,-0.00476039,0.00240093,0
400000,Andrias_japonicus,NA,195.372,0.0161249,-0.012557,0.00829282,0
450000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0483106,-0.00778263,0.0296952,0
450000,Amphiuma_tridactylum,Amphiuma_pholeter,188.883,0.0734131,-0.00173822,0.0365793,0
450000,Notophthalmus_meridionalis,NA,207.687,0.0438281,-0.00380899,0.0321471,0
450000,Pseudobranchus_vetustus,NA,194.767,0.00943047,0.000121627,0.0349938,0
450000,Scapherpeton_tectum,Piceoerpeton_naylori,137.48,0.277596,-0.00186559,0.287158,0
450000,Necturus_lewisi,Necturus_punctatus,177.701,0.0511328,-0.00743789,0.0238273,0
450000,Calotriton_arnoldi,NA,210.171,0.0832161,-0.0155994,0.0247931,0
450000,Mertensiella_caucasica,Phosphotriton_sigei,136.893,0.109848,-0.00170132,0.0444517,0
450000,Ambystoma_opacum,Ambystoma_cingulatum,185.101,0.0979961,0.00191981,0.00217969,0
450000,Ambystoma_talpoideum,Semniobatrachus_boltishki,146.027,0.0678034,0.00257334,0.144326,0
450000,Dicamptodon_tenebrosus,Ambystoma_talpoideum,72.4452,0.0130762,0.00163153,0.0123383,0
450000,Ambystoma_andersoni,NA,209.321,0.0485824,-0.00553387,0.0446481,0
450000,Pseudobranchus_axanthus,Kababisha_humarensis,109.741,0.0886331,-0.00307549,0.0891126,0
450000,Salamandrella_keyserlingii,Parahynobius_kordosi,60.4464,0.0273071,-0.0047099,0.0234145,0
450000,Cryptobranchus_alleganiensis,Opithisthotriton_kayi,28.2836,0.0987757,0.000196119,0.0869494,0
500000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0639485,-0.00123081,0.0450427,0
500000,Urupia_monstrosa,NA,7.88638,0.0416242,0.00624556,0.00431837,0
500000,Urupia_monstrosa,NA,37.6194,0.0058714,0.00116538,0.0404292,0
500000,Palaeoplethodon_hispaniolae,NA,189.682,0.271852,-0.00158331,0.188213,0
500000,Amphiuma_tridactylum,NA,207.877,0.0284223,-0.00160251,0.00810366,0
500000,Proteus_anguinus,Rhyacotriton_cascadae,50.6921,0.0294978,0.00390966,0.023562,0
500000,Lissotriton_boscai,NA,198.216,0.040757,-0.00988438,0.105072,0
500000,Mertensiella_caucasica,Phosphotriton_sigei,143.509,0.148881,-0.00249679,0.0932774,0
500000,Ambystoma_gfs,NA,194.477,0.0775695,0.00112279,0.0778594,0
500000,Ambystoma_talpoideum,Ambystoma_minshalli,159.389,0.0698274,0.00193597,0.00674646,0
550000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0639524,-0.00291503,0.0419799,0
550000,Rhyacotriton_cascadae,Rhyacotriton_kezeri,142.101,0.652555,-0.00964728,0.293971,0
550000,Rhyacotriton_cascadae,Rhyacotriton_kezeri,142.295,0.03215,0.00273939,0.008643,0
550000,Proteus_anguinus,Orthophyia_longa,186.832,0.226769,-0.00694921,0.176294,0
550000,Triturus_dobrogicus,Triturus_cristatus,201.992,0.171784,0.00763721,0.0995805,0
550000,Tylototriton_taliangensis,NA,205.395,0.0197184,0.00175173,0.130998,0
550000,Salamandrina_perspicillata,Mertensiella_caucasica,131.696,0.097538,0.00342921,0.0676848,0
550000,Ambystoma_mabeei,Ambystoma_texanum,197.02,0.150714,-0.00345071,0.0953369,0
550000,Ambystoma_opacum,Ambystoma_cingulatum,189.199,0.172913,-0.00393913,0.0420874,0
550000,Amphiuma_tridactylum,Proamphiuma_cretacea,101.493,0.0262076,-0.00408637,0.0308888,0
550000,Siren_miotexana,NA,179.031,0.23533,0.00435135,0.150642,0
600000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0519228,0.000755886,0.05155,0
600000,Valdotriton_gracilis,NA,39.6223,0.0339658,-0.0066121,0.0448686,0
600000,Taricha_granulosa,Taricha_torosa,202.589,0.17194,-0.00827914,0.126006,0
600000,Salamandrina_perspicillata,Mertensiella_caucasica,114.14,0.0734602,0.0039793,0.0550862,0
600000,Ambystoma_gracile,Ambystoma_opacum,181.942,0.0875497,-0.00234307,0.00295777,0
600000,Siren_hesterna,NA,163.483,0.082452,-0.00354789,0.103084,0
600000,Pseudobranchus_axanthus,Kababisha_humarensis,89.62,0.118001,-0.00755488,0.0657025,0
600000,Batrachosauroides_dissimulans,NA,167.216,0.0162961,0.00237192,0.00310193,0
650000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0574999,-0.00269479,0.0386401,0
650000,Proteus_anguinus,Orthophyia_longa,171.575,0.0226874,-0.000595028,0.0441977,0
650000,Proteus_anguinus,Orthophyia_longa,162.099,0.0174542,-0.00862783,0.0336901,0
650000,Phosphotriton_sigei,NA,168.021,0.0451001,0.00729963,0.072922,0
650000,Pleurodeles_waltl,Pleurodeles_cf.waltl,204.745,0.146254,-0.00749988,0.0287786,0
650000,Lyciasalamandra_helverseni,NA,206.231,0.0737028,-0.00573099,0.00644881,0
650000,Salamandrina_perspicillata,Mertensiella_caucasica,130.168,0.137441,-0.00353162,0.0606817,0
650000,Ambystoma_gracile,Ambystoma_opacum,183.761,0.11622,-0.00288836,0.00325872,0
700000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0591349,-0.00131115,0.0388264,0
700000,Mertensiella_caucasica,Phosphotriton_sigei,144.22,0.144609,-0.00204286,0.0637452,0
700000,Ambystoma_gracile,Ambystoma_opacum,169.855,0.0759393,-0.000521999,0.000413244,0
700000,Batrachosauroides_gotoi,Palaeoproteus_gallicus,149.489,0.128371,-0.00666024,0.0613391,0
700000,Kiyatriton_leshchinsktyi,NA,74.5787,0.096603,0.000135414,0.066864,0
700000,Iridotriton_hechti,NA,61.6116,0.0584417,-0.00358147,0.137737,0
700000,Andrias_davidianus,NA,201.561,0.0382962,-0.00294317,0.0598821,0
750000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0674751,0.00014643,0.0577377,0
750000,Amphiuma_tridactylum,Proamphiuma_cretacea,101.022,0.0738414,-0.00151633,0.0378083,0
750000,Pleurodeles_waltl,Notophthalmus_meridionalis,154.18,0.188928,-0.0079194,0.104556,0
750000,Calotriton_asper,NA,204.959,0.0375533,0.0106448,0.114827,0
750000,Lissotriton_italicus,Lissotriton_boscai,186.545,0.0406522,-0.00478326,0.000831366,0
750000,Ambystoma_opacum,Ambystoma_cingulatum,187.942,0.16521,-0.0107372,0.0241433,0
750000,Rhyacotriton_cascadae,Amphiuma_tridactylum,54.0728,0.0349132,0.00098531,0.0106288,0
750000,Cryptobranchus_alleganiensis,Opithisthotriton_kayi,22.6076,0.122645,-0.00780333,0.0563118,0
800000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0464363,-0.0010112,0.0394707,0
800000,Valdotriton_gracilis,NA,85.3363,0.10829,0.0019711,0.0774466,0
800000,Palaeoplethodon_hispaniolae,NA,187.037,0.106618,0.00296362,0.126934,0
800000,Lissotriton_vulgaris,Lissotriton_montandoni,207.262,0.212081,-0.00992734,0.140486,0
800000,Cynops_cyanurus,NA,194.674,0.149514,-0.00222375,0.212382,0
800000,Lyciasalamandra_antalyana,Lyciasalamandra_billae,200.281,0.0822016,-0.00502669,0.00535905,0
800000,Salamandrina_perspicillata,Mertensiella_caucasica,102.819,0.142846,-0.00216625,0.07084,0
800000,Ambystoma_gracile,Ambystoma_opacum,174.642,0.133934,-0.0009788,0.0622099,0
800000,Siren_miotexana,NA,179.669,0.000546668,0.0145978,0.0229635,0
800000,Peratosauroides_problematica,NA,164.279,0.17456,-0.0115136,0.0908892,0
800000,Peratosauroides_problematica,NA,183.529,0.0197868,0.0014248,0.03482,0
800000,Opithisthotriton_kayi,Prodesmodon_copei,99.6971,0.229886,-0.00813081,0.174819,0
800000,Cryptobranchus_alleganiensis,Eoscapherpeton_superum,120.408,0.134625,-0.00603999,0.101353,0
850000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0921141,-0.00310028,0.0563378,0
850000,Amphiuma_tridactylum,Amphiuma_pholeter,176.036,0.116853,0.00156726,0.0494532,0
850000,Pleurodeles_waltl,Notophthalmus_meridionalis,161.219,0.125512,-0.00548044,0.0571328,0
850000,Ambystoma_minshalli,NA,175.157,0.036164,0.00284793,0.0473739,0
850000,Ambystoma_cingulatum,NA,207.123,0.0108209,-0.00980406,0.024829,0
850000,Ambystoma_gracile,Ambystoma_opacum,173.807,0.0919784,-0.0035418,0.00256738,0
900000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0630886,-0.00268423,0.0419057,0
900000,Pleurodeles_poireti,NA,205.459,0.0102417,-0.00171869,0.132984,0
900000,Ambystoma_talpoideum,Semniobatrachus_boltishki,154.014,0.139064,-0.0023526,0.0830139,0
900000,Salamandrina_perspicillata,Mertensiella_caucasica,122.842,0.150466,-0.00394289,0.0798467,0
900000,Pseudobranchus_axanthus,Habrosaurus_dilatus,127.535,0.13759,-0.00500197,0.0780211,0
950000,Cryptobranchus_alleganiensis,Urupia_monstrosa,0,0.0702169,-0.00175132,0.0522436,0
950000,Beiyanerpeton_jianpingensis,NA,51.7542,0.0028285,-0.00621924,0.0417399,0
