collection_no,source_database,collection.authorizer,class_name,order_name,family_name,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,collection_name,country,state,latdec,lngdec,paleolatdec,paleolngdec,stage,10_my_bin,FR2_bin,formation,member
12816,PaleoDB,"E. Fara",,,,"n. gen.",Comonecturoides,"n. sp.",marshi,,,,,10624,1881,"Quarry 9, Como Bluff (YPM)","United States",Wyoming,41.893056,-106.002222,37.45,-52.17,,,,Morrison,"Brushy Basin"
12840,PaleoDB,"E. Fara",,,Urodela,,Salamandra,,sansaniensis,,,,,7272,1981,"Le Bretou",France,"Quercy, Midi-Pyrenees Region",44.166667,1.733333,42.06,-2.02,Bartonian,"Cenozoic 3",Bartonian,,
12843,PaleoDB,"E. Fara",,,Urodela,,Megalotriton,,sp.,,,,,7272,1981,"Sindou D",France,"Quercy, Midi-Pyrenees Region",44.350000,1.733333,42.91,-1.93,Priabonian,"Cenozoic 3",Priabonian,,
12852,PaleoDB,"E. Fara",,,Urodela,,Megalotriton,,sp.,,,,,8517,1978,"Coânac I",France,"Quercy, Midi-Pyrenees Region",44.366667,1.733333,42.93,-1.94,Priabonian,"Cenozoic 3",Priabonian,,
12855,PaleoDB,"E. Fara",,,Urodela,"n. gen.",Noterpeton,"n. sp.",bolivianum,,,,,39674,2001,"Pajcha Pata",Bolivia,Cochabamba,-17.855556,-65.45,-20.38,-51.30,Maastrichtian,"Cretaceous 8",Maastrichtian,"El Molino",
13066,PaleoDB,"M. Uhen",,,Urodela,,Pseudotriton,,ruber,,,,,10272,1967,"Ladd's Quarry","United States",Georgia,34.2,-84.8,34.23,-84.59,,"Cenozoic 6",Pleistocene,,
13066,PaleoDB,"M. Uhen",,,Urodela,,Ambystoma,,tigrinum,,,,,10272,1967,"Ladd's Quarry","United States",Georgia,34.2,-84.8,34.23,-84.59,,"Cenozoic 6",Pleistocene,,
13066,PaleoDB,"M. Uhen",,,Urodela,,Plethodon,cf.,glutinosus,,,,,10272,1967,"Ladd's Quarry","United States",Georgia,34.2,-84.8,34.23,-84.59,,"Cenozoic 6",Pleistocene,,
13142,PaleoDB,"E. Fara",,,Urodela,,Habrosaurus,,dilatus,,,,,4377,1965,"Bug Creek Anthills","United States",Montana,47.8,-106.1,54.52,-78.40,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
13142,PaleoDB,"E. Fara",,,Urodela,,Proamphiuma,,cretacea,,,,,4377,1965,"Bug Creek Anthills","United States",Montana,47.8,-106.1,54.52,-78.40,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
