collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,country,state,county,latdec,lngdec,paleolatdec,paleolngdec,stage,10_my_bin,FR2_bin,interpolated_base,interpolated_top,interpolated_mid,formation,member
22634,ETE,"A. Behrensmeyer","n. gen.",Ramonellus,"n. sp.",longispinus,,,,,13344,1964,Israel,Negev,,30.538889,34.726667,6.80,29.78,,,,,,0,Hatira,
27891,ETE,"M. Carrano","n. gen.",Jeholotriton,"n. sp.",paradoxus,,,,,47910,2013,China,"Nei Mongol",,41.316389,119.238611,43.01,123.06,Callovian,"Jurassic 5",Callovian,,,0,Tiaojishan,
27891,ETE,"M. Carrano","n. gen.",Chunerpeton,"n. sp.",tianyiensis,,,,,47910,2013,China,"Nei Mongol",,41.316389,119.238611,43.01,123.06,Callovian,"Jurassic 5",Callovian,,,0,Tiaojishan,
27891,ETE,"M. Carrano","n. gen.",Liaoxitriton,"n. sp.",daohugouensis,,,,,47910,2013,China,"Nei Mongol",,41.316389,119.238611,43.01,123.06,Callovian,"Jurassic 5",Callovian,,,0,Tiaojishan,
46959,ETE,"M. Carrano",,Eoscapherpeton,,asiaticum,,Mynbulakia,,surgayi,38131,1985,Uzbekistan,Navoi,,42.117293,62.655315,36.80,56.95,Turonian,"Cretaceous 6",Turonian,92.100,89.300,90.7,Bissekty,
58168,ETE,"M. Carrano","n. gen.",Nesovtriton,"n. sp.",mynbulakensis,,,,,38131,1985,Uzbekistan,Navoi,,42.117293,62.655315,36.80,56.95,Turonian,"Cretaceous 6",Turonian,92.100,89.300,90.7,Bissekty,
58174,ETE,"M. Carrano",,Nesovtriton,,mynbulakensis,,,,,16510,1995,Uzbekistan,Navoi,,42.117293,62.655315,36.26,57.01,Coniacian,"Cretaceous 6",Coniacian,,,0,Bissekty,
58179,ETE,"M. Carrano",,Eoscapherpeton,,asiaticum,,Mynbulakia,,surgayi,38128,1981,Uzbekistan,Navoi,,42.117293,62.655315,36.26,57.01,Coniacian,"Cretaceous 6",Coniacian,,,0,Bissekty,
58179,ETE,"M. Carrano",,Nesovtriton,,mynbulakensis,,,,,38128,1981,Uzbekistan,Navoi,,42.117293,62.655315,36.26,57.01,Coniacian,"Cretaceous 6",Coniacian,,,0,Bissekty,
58208,ETE,"M. Carrano",,Horezmia,,gracile,,,,,25546,1931,Uzbekistan,Navoi,,40.100,65.800,36.13,61.50,Albian,"Cretaceous 4",Albian,103.733,99.600,101.6665,Khodzhakul,
58701,ETE,"M. Carrano",,Eoscapherpeton,informal,"sp. b",,,,,16510,1995,Tajikistan,,,40.4928,69.7025,34.90,63.85,Santonian,"Cretaceous 6",Santonian,85.800,85.033,85.4165,Yalovach,
58701,ETE,"M. Carrano",,Eoscapherpeton,"n. sp.",superum,,,,,16510,1995,Tajikistan,,,40.4928,69.7025,34.90,63.85,Santonian,"Cretaceous 6",Santonian,85.800,85.033,85.4165,Yalovach,
68823,PaleoDB,"E. Fara",,Horezmia,,gracile,,,,,19868,1988,Uzbekistan,Karakalpakstan,,42.366667,60.033333,37.10,54.64,Cenomanian,"Cretaceous 5",Cenomanian,99.600,97.567,98.5835,"Khodzhakul (= Chodzhakul)",
79954,ETE,"M. Carrano",,Kokartus,,honorarius,,,,,26886,2008,Kyrgyzstan,Jalal-Abad,,41.119698,73.434302,41.09,77.84,Bathonian,"Jurassic 4",Bathonian,165.700,164.700,165.2,Balabansai,
79955,ETE,"M. Carrano","n. gen.",Kokartus,"n. sp.",honorarius,,,,,19868,1988,Kyrgyzstan,Jalal-Abad,,41.135437,73.394318,41.09,77.79,Bathonian,"Jurassic 4",Bathonian,165.700,164.700,165.2,Balabansai,
91265,ETE,"M. Carrano",,Chunerpeton,,tianyiensis,,,,,30706,2009,China,Hebei,Qinglong,40.483333,119.3667,41.75,122.51,,,,165.700,153.250,159.475,Tiaojishan,
92073,Fossilworks,"J. Alroy","n. gen.",Liaoxitriton,"n. sp.",zhongjiani,,,,,30989,1998,China,Liaoning,,40.750000,120.833333,44.11,121.13,Aptian,"Cretaceous 3",Aptian,,,0,Jiufotang,
92074,Fossilworks,"J. Alroy","n. gen.",Regalerpeton,"n. sp.",weichangensis,,,,,30990,2009,China,Hebei,Weichang,41.933333,117.566667,44.52,118.18,,,,,,0,Huajiying,
92078,Fossilworks,"J. Alroy","n. gen.",Laccotriton,"n. sp.",subsolanus,,,,,30992,2001,China,Hebei,,41.233333,117.200000,42.45,119.85,Tithonian,"Jurassic 6",Portlandian,,,0,,
92078,Fossilworks,"J. Alroy","n. gen.",Sinerpeton,"n. sp.",fengshanensis,,,,,30992,2001,China,Hebei,,41.233333,117.200000,42.45,119.85,Tithonian,"Jurassic 6",Portlandian,,,0,,
92421,PaleoDB,"R. Butler",,Chunerpeton,,tianyiensis,,,,,31153,2009,China,Liaoning,Jianchang,40.868056,119.991111,42.13,123.15,,,,165.700,153.250,159.475,Tiaojishan,
103743,Fossilworks,"J. Alroy","n. gen.",Pangerpeton,"n. sp.",sinensis,,,,,34986,2006,China,Liaoning,,41.233333,119.400000,42.51,122.38,,,,,,0,,
103743,Fossilworks,"J. Alroy",,Chunerpeton,,tianyiensis,,Chunerpeton,,sp.,34986,2006,China,Liaoning,,41.233333,119.400000,42.51,122.38,,,,,,0,,
130986,PaleoDB,"R. Benson",,Chunerpeton,,tianyiensis,,,,,42318,2012,China,Liaoning,,42.016111,119.443611,43.28,122.58,Oxfordian,"Jurassic 5",Oxfordian,161.200,159.367,160.2835,Tiaojishan,
130986,PaleoDB,"R. Benson","n. gen.",Beiyanerpeton,"n. sp.",jianpingensis,,,,,42318,2012,China,Liaoning,,42.016111,119.443611,43.28,122.58,Oxfordian,"Jurassic 5",Oxfordian,161.200,159.367,160.2835,Tiaojishan,
142316,PaleoDB,"P. Mannion","n. gen.",Ulanurus,"n. sp.",fractus,,,,,46204,1991,Mongolia,Omnogovi,,43.466667,100.450000,43.24,91.69,Thanetian,"Cenozoic 1",Thanetian,,,0,"Naran Bulak",Naran
142316,PaleoDB,"P. Mannion","n. gen.",Aviturus,"n. sp.",exsecratus,,,,,46204,1991,Mongolia,Omnogovi,,43.466667,100.450000,43.24,91.69,Thanetian,"Cenozoic 1",Thanetian,,,0,"Naran Bulak",Naran
154718,,"P. Mannion",,Chunerpeton,,tianyiensis,,,,,50313,2014,China,Hebei,Qinglong,37.058333,114.396944,38.34,117.33,Kimmeridgian,"Jurassic 5",Kimmeridgian,,,0,Jiulongshan,Daohugou
