genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Aviturus,exsecratus,58.700,55.800,1,0,NaN
Beiyanerpeton,jianpingensis,161.200,155.700,1,1,1.0000
Chunerpeton,tianyiensis,164.5,150.800,6,0,NaN
Eoscapherpeton,asiaticum,94.300,85.800,2,2,0.5774
Eoscapherpeton,"sp. b",85.800,84.900,1,0,NaN
Eoscapherpeton,superum,85.800,84.900,1,0,NaN
Horezmia,gracile,105.300,94.300,2,0,NaN
Jeholotriton,paradoxus,164.5,164.5,1,0,NaN
Kokartus,honorarius,167.700,164.700,2,1,1.0000
Laccotriton,subsolanus,150.800,145.500,1,1,0.9091
Liaoxitriton,daohugouensis,164.5,164.5,1,1,1.0000
Liaoxitriton,zhongjiani,125.450,112.600,1,1,1.0000
Nesovtriton,mynbulakensis,94.300,85.800,3,3,0.8736
Pangerpeton,sinensis,161.200,145.500,1,0,NaN
Ramonellus,longispinus,145.500,112.600,1,0,NaN
Regalerpeton,weichangensis,130.000,112.600,1,0,NaN
Sinerpeton,fengshanensis,150.800,145.500,1,1,0.0909
Ulanurus,fractus,58.700,55.800,1,0,NaN
