authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Carrano","K. Maguire","M. Carrano",17387,"V. R.",Alifanov,"A. O.",Averianov,,2006,"On the finding of ornithomimid dinosaurs (Saurischia, Ornithomimosauria) in the Upper Cretaceous beds of Tajikistan","Paleontological Journal",,40,1,103,108,"journal article","stated without evidence",English,,,ETE,,"2006-05-15 12:10:23","2006-05-18 00:16:38"
"R. Benson","R. Benson",,39419,"J. D.",Archibald,"A. O.",Averianov,,2003,"The Late Cretaceous placental mammal Kulbeckia","Journal of Vertebrate Paleontology",,23,2,404,419,"journal article","stated without evidence",English,,,,,"2012-01-13 00:25:39","2012-01-13 00:25:39"
"M. Carrano","M. Carrano",,17405,"J. D.",Archibald,"A. O.",Averianov,,2006,"Late Cretaceous asioryctitherian eutherian mammals from Uzbekistan and phylogenetic analysis of Asioryctitheria","Acta Palaeontologica Polonica",,51,2,351,376,"journal article","stated without evidence",English,,,ETE,,"2006-05-17 11:41:03","2006-05-18 04:41:10"
"M. Carrano","M. Carrano","M. Carrano",18356,"A. O.",Averianov,,,,2000,"Mammals from the Mesozoic of Kirgizstan, Uzbekistan, Kazakhstan and Tadzhikistan","The Age of Dinosaurs in Russia and Mongolia. Cambridge University Press, Cambridge","M. J. Benton, M. A. Shishkin, D. M. Unwin & E. N. Kurochkin",,,627,652,"book/book chapter","stated without evidence",English,,,ETE,,"2006-08-23 14:24:49","2010-09-22 07:57:41"
"M. Carrano","M. Carrano",,23827,"A. O.",Averianov,,,,2007,"New records of azhdarchids (Pterosauria, Azhdarchidae) from the Late Cretaceous of Russia, Kazakhstan, and Central Asia","Paleontological Journal",,41,2,189,197,"journal article","stated without evidence",English,,,ETE,,"2007-04-18 07:28:47","2007-04-19 00:28:51"
"R. Butler","R. Butler","R. Butler",31142,"A. O.",Averianov,,,,2007,"Mid-Cretaceous ornithocheirids (Pterosauria, Ornithocheiridae) from Russia and Uzbekistan","Paleontological Journal",,41,,79,86,"journal article","stated with evidence",English,,,,,"2009-11-09 23:10:05","2009-11-10 19:18:37"
"P. Mannion","J. Tennant",,45854,"A. O.",Averianov,"V. R.",Alifanov,,2012,"New data on duck-billed dinosaurs (Ornithischia, Hadrosauridae) from the Upper Cretaceous of Tajikistan","Paleontological Journal",,46,5,512,519,"journal article","stated with evidence",English,,,,,"2013-03-21 23:44:20","2013-03-21 23:44:20"
"J. Alroy","J. Alroy",,28807,A.,Averianov,"J. D.",Archibald,,2005,"Mammals from the mid-Cretaceous Khodzhakul Formation, Kyzylkum Desert, Uzbekistan","Cretaceous Research",,26,4,593,608,"journal article","stated with evidence",English,,,,,"2008-12-17 15:26:53","2008-12-18 10:26:53"
"R. Benson","R. Benson",,39418,"A. O.",Averianov,"J. D.",Archibald,,2006,"New specimens of the multituberculate mammal Uzbekbaatar from the Late Cretaceous of Uzbekistan","Acta Palaeontologica Polonica",,51,2,377,380,"journal article","stated without evidence",English,,,,,"2012-01-13 00:19:04","2012-01-13 00:19:04"
"R. Benson","R. Benson",,39417,"A. O.",Averianov,"J. D.",Archibald,"E. G. Ekdale",2010,"New material of the Late Cretaceous deltatheroidan mammal Sulestes from Uzbekistan and phylogenetic reassessment of the metatherian-eutherian dichotomy","Journal of Systematic Palaeontology",,8,3,301,330,"journal article","stated without evidence",English,10.1080/14772011003603499,,,,"2012-01-12 23:28:55","2012-01-12 23:28:55"
"R. Benson","R. Benson",,39260,A.,Averianov,Z.,Kielan-Jaworowska,,1999,"Marsupials from the Late Cretaceous of Uzbekistan","Acta Palaeontologica Polonica",,44,1,71,81,"journal article","stated without evidence",English,,,,,"2012-01-09 23:43:05","2012-01-09 23:43:05"
"M. Carrano","M. Carrano",,26886,"A. O.",Averianov,T.,Martin,"P. P. Skutschas, A. S. Rezvyi, A. A. Bakirov",2008,"Amphibians from the Middle Jurassic Balabansai Svita in the Fergana Depression, Kyrgyzstan (Central Asia)",Palaeontology,,51,2,471,485,"journal article","stated without evidence",English,10.1111/j.1475-4983.2007.00748.x,,ETE,,"2008-03-28 13:25:11","2008-03-29 07:25:11"
"M. Carrano","M. Carrano",,23626,"A. O.",Averianov,H.-D.,Sues,,2007,"A new troodontid (Dinosauria: Theropoda) from the Cenomanian of Uzbekistan, with a review of troodontid records from the territories of the former Soviet Union","Journal of Vertebrate Paleontology",,27,1,87,98,"journal article","stated without evidence",English,,,ETE,,"2007-03-22 11:02:24","2007-03-23 05:02:30"
"R. Butler","R. Butler",,30958,"N. N.",Bakhurina,"D. M.",Unwin,,1995,"a survey of pterosaurs from the Jurassic and Cretaceous of the former Soviet Union and Mongolia","Historical Biology",,10,,197,245,"journal article","stated with evidence",English,,,,,"2009-10-27 07:24:16","2009-10-28 01:24:16"
"W. Kiessling","U. Merkel",,27891,A.,Balinski,,,,1973,"Morphology and paleoecology of Givetian brachiopods from Jurkowice-Budy (Holy Cross Mountains, Poland)","Acta Palaeontologica Polonica",,18,3,269,297,"journal article","stated without evidence",English,,,,,"2008-08-06 07:11:06","2008-08-07 00:11:06"
"P. Mannion","J. Tennant",,50319,"S. C.",Bennett,,,,2014,"A new speicmen of the pterosaur Scaphognathus crassirostris, with comments on constraint of cervical vertebrae number in pterosaurs","Neues Jahrbuch für Geologie und Paläontologie - Abhandlungen",,271,3,327,348,"journal article","stated with evidence",English,,,,,"2014-03-06 03:09:16","2014-03-06 20:09:16"
"M. Carrano","M. Carrano","M. Carrano",19683,"D. B.",Brinkman,"L. A.",Nessov,"J.-H. Peng",1994,"Khunnuchelys gen. nov., a new trionychid (Testudines: Trionychidae) from the Late Cretaceous of Inner Mongolia and Uzbekistan","Canadian Journal of Earth Sciences",,30,10-11,2214,2223,"journal article","stated without evidence",English,,,ETE,,"2007-01-18 11:58:25","2009-12-16 07:59:00"
"R. Butler","R. Butler",,43454,X.,Cheng,X.,Wang,"S. Jiang, A. W. A. Kellner",2012,"A new scaphognathid pterosaur from western Liaoning, China","Historical Biology",,24,1,101,111,"journal article","stated with evidence",English,,,,,"2012-11-09 06:47:26","2012-11-09 06:47:26"
"R. Butler","R. Butler",,59176,X.,Cheng,X.,Wang,"S. Jiang, A. W. A. Kellner",2015,"Short note on a non-pterodactyloid pterosaur from Upper Jurassic deposits of Inner Mongolia, China","Historical Biology",,27,6,749,754,"journal article","stated with evidence",English,,,,,"2016-05-18 03:35:12","2016-05-18 18:35:12"
"M. Carrano","M. Carrano","M. Carrano",9243,"P. J.",Currie,"S. J.",Godfrey,"L. Nessov",1994,"New caenagnathid (Dinosauria, Theropoda) specimens from the Upper Cretaceous of North America and Asia","Canadian Journal of Earth Sciences",,30,10-11,2255,2272,"journal article","stated with evidence",English,,,,,"2003-09-19 15:57:17","2009-12-16 08:00:41"
"R. Butler","R. Butler",,30960,"S. A.",Czerkas,Q.,Ji,,2002,"A new rhamphorhynchoid with a headcrest and complex integumentary structures","Feathered Dinosaurs and the Origin of Flight, The Dinosaur Museum, Blanding","S. J. Czerkas",,,15,41,"book/book chapter",,English,,,,,"2009-10-27 07:55:32","2009-10-28 01:55:32"
"R. Benson","R. Benson",,44060,"I. G.",Danilov,,,,1999,"A new linholmemydid genus (Testudines: Lindholmemydidae) from the mid-Cretaceous of Uzbekistan","Russian Journal of Herpetology",,6,1,63,71,"journal article","stated without evidence",English,,,,,"2012-12-19 23:25:21","2012-12-19 23:25:21"
"R. Benson","R. Benson","P. Holroyd",41746,"I. G.",Danilov,"J. F.",Parham,,2005,"A reassessment of the referral of an isolated skull from the Late Cretaceous of Uzbekistan to the stem-testudinoid turtle genus Lindholmemys","Journal of Vertebrate Paleontology",,25,4,784,791,"journal article","stated without evidence",English,10.1671/0272-4634(2005)025[0784:AROTRO]2.0.CO;2,,,,"2012-05-23 19:58:22","2015-03-06 11:00:04"
"M. Carrano","M. Carrano",,37404,"I. G.",Danilov,"V. B.",Sukhanov,"E. V. Syromyatnikova",2011,"New Asiatic materials on turtles of the family Adocidae with a review of the adocid record in Asia","Proceedings of the Zoological Institute, Russian Academy of Sciences",,315,2,101,132,"journal article","stated with evidence",English,,,ETE,,"2011-09-03 05:38:28","2011-09-03 05:38:28"
"M. Carrano","M. Carrano",,41125,L.,Dong,D.,Huang,"Y. Wang",2012,"Two Jurassic salamanders with stomach contents from Inner Mongolia, China","Chinese Science Bulletin",,57,1,72,76,"journal article","stated without evidence",English,10.1007/s11434-011-4729-z,,,,"2012-04-12 01:48:34","2012-04-12 01:48:34"
"J. Alroy","J. Alroy","J. Alroy",30989,Z.,Dong,Y.,Wang,,1998,"A new urodele (Liaoxitriton zhongjiani gen. et sp. nov.) from the Early Cretaceous of western Liaoning Province, China","Vertebrata PalAsiatica",,36,4,159,172,"journal article","stated with evidence",Chinese,,"with English abstract",,,"2009-10-28 14:20:17","2009-10-29 08:52:31"
"P. Mannion","P. Mannion",,37284,"M. B.",Efimov,,,,1982,"A two-fanged crocodile from the Upper Cretaceous in Tadzhikistan","Paleontological Journal",,1982,4,103,104,"journal article","stated with evidence",English,,,,,"2011-08-29 22:17:34","2011-08-29 22:17:34"
"P. Mannion","J. Tennant",,43524,"S. E.",Evans,Y.,Wang,,2007,"A juvenile lizard specimen with well-preserved skin impressions from the Upper Jurassic/Lower Cretaceous of Daohugou, Inner Mongolia, China",Naturwissenschaften,,94,,431,439,"journal article","stated with evidence",English,10.1007/s00114-006-0214-y,,,,"2012-11-17 03:42:33","2012-11-17 03:42:33"
