collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,country,state,latdec,lngdec,paleolatdec,paleolngdec,subepoch,stage,10_my_bin,FR2_bin,ma_max,ma_mid,formation,member
12840,PaleoDB,"E. Fara",,Salamandra,,sansaniensis,,,,,7272,1981,France,"Quercy, Midi-Pyrenees Region",44.166667,1.733333,42.06,-2.02,"Middle Eocene",Bartonian,"Cenozoic 3",Bartonian,40.400,38.8,,
12843,PaleoDB,"E. Fara",,Megalotriton,,sp.,,,,,7272,1981,France,"Quercy, Midi-Pyrenees Region",44.350000,1.733333,42.91,-1.93,"Late/Upper Eocene",Priabonian,"Cenozoic 3",Priabonian,37.200,35.55,,
12852,PaleoDB,"E. Fara",,Megalotriton,,sp.,,,,,8517,1978,France,"Quercy, Midi-Pyrenees Region",44.366667,1.733333,42.93,-1.94,"Late/Upper Eocene",Priabonian,"Cenozoic 3",Priabonian,37.200,35.55,,
13322,PaleoDB,"J. Hunter",,Tylototriton,"n. sp.",weigelti,,,,,11714,1982,Germany,Sachsen-Anhalt,51.321944,11.953611,48.34,7.71,"Middle Eocene",Lutetian,"Cenozoic 2",Lutetian,48.600,44.5,,
13322,PaleoDB,"J. Hunter",,Palaeoproteus,"n. sp.",klatti,,,,,11714,1982,Germany,Sachsen-Anhalt,51.321944,11.953611,48.34,7.71,"Middle Eocene",Lutetian,"Cenozoic 2",Lutetian,48.600,44.5,,
22645,ETE,"A. Behrensmeyer","n. gen.",Hylaeobatrachus,"n. sp.",croyii,,,,,52560,1878,Belgium,Sauerland,50.466667,3.633333,40.68,13.68,,,,,130.000,126.23,"Sainte-Barbe Clays",
28006,Fossilworks,"J. Alroy","n. gen.",Valdotriton,"n. sp.",gracilis,,Caudata,,indet.,7671,1988,Spain,Cuenca,40.64525,-1.880849,30.52,8.08,,Barremian,"Cretaceous 2",Barremian,130.000,127.725,"La Huérguina",
28006,Fossilworks,"J. Alroy",,Hylaeobatrachus,,sp.,,,,,7671,1988,Spain,Cuenca,40.64525,-1.880849,30.52,8.08,,Barremian,"Cretaceous 2",Barremian,130.000,127.725,"La Huérguina",
28401,Fossilworks,"J. Alroy","n. gen.",Apricosiren,"n. sp.",ensomi,,Batrachosauroididae,,indet.,8336,1987,"United Kingdom",England,50.600000,-1.966667,41.46,7.85,,Berriasian,"Cretaceous 1",Berriasian,145.500,142.85,Lulworth,"Worbarrow Tout"
28995,Fossilworks,"J. Alroy","n. gen.",Apricosiren,"n. sp.",ensomi,,Batrachosauroididae,,indet.,8338,1988,"United Kingdom",England,50.600000,-1.966667,41.46,7.85,,Berriasian,"Cretaceous 1",Berriasian,145.500,142.85,Lulworth,"Worbarrow Tout"
31054,PaleoDB,"M. Carrano",?,Marmorerpeton,,sp.,,,,,8380,1994,"United Kingdom",England,51.985,-1.8,41.60,8.62,,Bathonian,"Jurassic 4",Bathonian,167.700,166.2,"Chipping Norton Limestone",
34534,PaleoDB,"J. Hunter",,Tylototriton,"n. sp.",primigenius,,,,,9114,1977,Germany,Baden-Württemberg,47.666667,8.933333,47.94,7.82,,,,,12.750,11.925,"Upper Freshwater Molasse",
