genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Andrias,scheuchzeri,28.400,13.650,7,0,NaN
Apricosiren,ensomi,145.500,140.200,2,0,NaN
Apricosiren,sp.,145.500,140.200,1,0,NaN
Carpathotriton,sp.,12.700,11.608,1,0,NaN
Chelotriton,paradoxus,28.400,11.608,4,0,NaN
Chelotriton,pliocenicus,3.600,2.588,1,0,NaN
Chelotriton,robustus,28.400,23.030,1,0,NaN
Chelotriton,sp.,28.400,14.88,6,1,1.0000
Chelotriton,"sp. type I",11.100,9.700,1,0,NaN
Chelotriton,"sp. type II",11.100,9.700,1,0,NaN
Chioglossa,meini,28.400,23.030,1,0,NaN
Galverpeton,ibericum,130.000,125.450,1,1,1.0000
Heteroclitotriton,zitteli,55.800,5.332,1,0,NaN
Hylaeobatrachus,croyii,130.000,122.460,1,0,NaN
Hylaeobatrachus,sp.,130.000,125.450,1,0,NaN
Kababisha,humarensis,99.700,94.300,1,1,0.2857
Kababisha,sp.,99.700,94.300,2,2,1.0000
Kababisha,sudanensis,99.700,94.300,1,1,0.7143
Kiyatriton,leschinskiyi,136.400,125.450,1,0,NaN
Kiyatriton,leshchinskiyi,130.000,112.600,1,1,1.0000
Kiyatriton,sp.,125.450,99.700,1,0,NaN
Koalliella,sp.,58.700,55.800,1,0,NaN
Lissotriton,rohrsi,11.100,9.700,4,0,NaN
Lissotriton,sp.,12.700,11.608,1,0,NaN
Marmorerpeton,freemani,167.700,164.700,1,1,0.0500
Marmorerpeton,kermacki,167.700,164.700,2,2,0.9747
Marmorerpeton,sp.,167.700,164.700,5,0,NaN
Megalotriton,filholi,55.800,5.332,1,0,NaN
Megalotriton,portisi,55.800,5.332,1,0,NaN
Megalotriton,sp.,37.200,28.400,4,0,NaN
Mertensiella,caucasica,11.100,9.700,1,0,NaN
Mioproteus,caucasicus,16.900,9.700,6,0,NaN
Oligosemia,spinosa,11.100,8.700,1,0,NaN
Palaeoproteus,gallicus,58.700,55.800,3,0,NaN
Palaeoproteus,klatti,48.600,40.400,1,0,NaN
Parahynobius,sp.,11.100,9.700,1,0,NaN
Salamandra,salamandra,11.100,0.126,2,1,0.5000
Salamandra,sansaniensis,40.400,11.608,7,2,1.0000
Salamandra,sp.,58.700,2.588,7,0,NaN
Salamandrina,sp.,23.030,9.700,2,0,NaN
Seminobatrachus,boltyschkensis,58.700,48.600,6,0,NaN
Triturus,cristatus,0.781,0.126,1,0,NaN
Triturus,helveticus,16.900,15.970,1,0,NaN
Triturus,marmoratus,16.900,2.588,6,0,NaN
Triturus,roehrsi,28.400,23.030,1,0,NaN
Triturus,sp.,55.800,0.126,11,5,0.8706
Triturus,vulgaris,15.970,0.126,3,0,NaN
Tylototriton,primigenius,12.750,11.100,1,0,NaN
Tylototriton,weigelti,48.600,40.400,1,0,NaN
Urupia,monstrosa,167.700,164.700,1,0,NaN
Valdotriton,gracilis,130.000,125.450,1,0,NaN
