authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Carrano","M. Carrano","M. Carrano",32161,"V. R.",Alifanov,"Y. L.",Bolotsky,,2010,"Arkharavia heterocoelica gen. et sp. nov., a new sauropod dinosaur from the Upper Cretaceous of the Far East of Russia","Paleontological Journal",,44,1,84,91,"journal article","stated with evidence",English,10.1134/S0031030110010119,,ETE,,"2010-02-25 08:33:46","2014-11-21 08:30:35"
"P. Mannion","J. Tennant","J. Tennant",45102,J.,Anquetin,,,,2010,"The anatomy of the basal turtle Eileanchelys waldmani from the Middle Jurassic of the Isle of Skye, Scotland","Earth and Environmental Science Transactions of the Royal Society of Edinburgh",,101,,67,96,"journal article","stated with evidence",English,10.1017/S1755691010009217,,,,"2013-02-21 08:43:48","2013-02-21 08:51:23"
"P. Mannion","J. Tennant",,43896,J.,Anquetin,"P. M.",Barrett,"M. E. H. Jones, S. Moore-Fay, S. E. Evans",2009,"A new stem turtle from the Middle Jurassic of Scotland: new insights into the evolution and palaeoecology of basal turtles","Proceedings of the Royal Society B",,276,,879,886,"journal article","stated with evidence",English,10.1098/rspb.2008.1429,"Published online 18 November 2008",,,"2012-12-13 03:19:27","2012-12-13 03:19:27"
"E. Fara","E. Fara","J. Alroy",4283,M.,Augé,,,,1987,"Les Cordylidae (Reptilia, Lacertilia) de l'Eocène français","Bulletin du Museum National d'Histoire Naturelle, Paris",,9,2,181,196,"journal article","stated without evidence",French,,,5%,20820,"2002-03-01 16:57:37","2004-03-20 11:42:10"
"J. Head","J. Head",,35618,M.,Augé,,,,2003,"La faune de Lacertilia (Reptilia, Squamata) de l’Éocène inférieur de Prémontré (Bassin de Paris, France)",Geodiversitas,,25,3,539,574,"journal article","stated with evidence",English,,,,,"2011-03-24 13:32:07","2011-03-24 13:32:07"
"P. Barrett","T. Cleary","T. Cleary",59290,"M. L.",Augé,,,,2005,"Evolution des lézards du Paléogène en Europe","Mémoires du Muséum national d'histoire naturelle",,192,,1,369,"serial monograph","stated with evidence",French,,,,,"2016-06-01 07:46:15","2016-06-02 01:10:28"
"C. Bell","C. Bell",,43531,M.,Augé,S.,Duffaud,"F. de Lapparent de Broin, J.-C. Rage, D. Vasse",1997,"Les amphibiens et les reptiles de Prémontré (Cuisien, Bassin parisien): une herpétofaune de référence pour l'Eocène inférieur","Géologie de la France",,1,,23,33,"journal article","stated with evidence",French,,,,,"2012-11-17 08:14:45","2012-11-17 08:14:45"
"C. Bell","C. Bell","C. Bell",43525,M.,Augé,J.-C.,Rage,,1995,"Le Garouillas et les sites contemporains (Oligocene, MP 25) des Phosphorites du Quercy (Lot, Tarn-et-Garonne, France) et leurs faunas de vertebres. 2. Amphibiens et squamates","Palaeontographica Abteilung A",,236,1-6,11,32,"journal article","stated with evidence",French,,,,,"2012-11-17 03:52:00","2012-11-17 07:54:40"
"R. Butler","R. Butler","R. Butler",31142,"A. O.",Averianov,,,,2007,"Mid-Cretaceous ornithocheirids (Pterosauria, Ornithocheiridae) from Russia and Uzbekistan","Paleontological Journal",,41,,79,86,"journal article","stated with evidence",English,,,,,"2009-11-09 23:10:05","2009-11-10 19:18:37"
"M. Carrano","M. Carrano",,34709,"A. O.",Averianov,"S. A.",Krasnolutskii,,2009,"Stegosaur remains from the Middle Jurassic of west Siberia","Proceedings of the Zoological Institute RAS",,313,2,153,167,"journal article","stated without evidence",English,,,ETE,,"2011-01-10 14:47:17","2011-01-10 14:47:17"
