collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,country,state,latdec,lngdec,paleolatdec,paleolngdec,epoch,stage,10_my_bin,FR2_bin,ma_max,ma_mid,formation,member
12816,PaleoDB,"E. Fara","n. gen.",Comonecturoides,"n. sp.",marshi,,,,,10624,1881,"United States",Wyoming,41.893056,-106.002222,37.45,-52.17,"Late/Upper Jurassic",,,,155.700,150.6,Morrison,"Brushy Basin"
12840,PaleoDB,"E. Fara",,Salamandra,,sansaniensis,,,,,7272,1981,France,"Quercy, Midi-Pyrenees Region",44.166667,1.733333,42.06,-2.02,Eocene,Bartonian,"Cenozoic 3",Bartonian,40.400,38.8,,
12843,PaleoDB,"E. Fara",,Megalotriton,,sp.,,,,,7272,1981,France,"Quercy, Midi-Pyrenees Region",44.350000,1.733333,42.91,-1.93,Eocene,Priabonian,"Cenozoic 3",Priabonian,37.200,35.55,,
12852,PaleoDB,"E. Fara",,Megalotriton,,sp.,,,,,8517,1978,France,"Quercy, Midi-Pyrenees Region",44.366667,1.733333,42.93,-1.94,Eocene,Priabonian,"Cenozoic 3",Priabonian,37.200,35.55,,
12855,PaleoDB,"E. Fara","n. gen.",Noterpeton,"n. sp.",bolivianum,,,,,39674,2001,Bolivia,Cochabamba,-17.855556,-65.45,-20.38,-51.30,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"El Molino",
13066,PaleoDB,"M. Uhen",,Pseudotriton,,ruber,,,,,10272,1967,"United States",Georgia,34.2,-84.8,34.23,-84.59,Pleistocene,,"Cenozoic 6",Pleistocene,0.3,0.3,,
13066,PaleoDB,"M. Uhen",,Plethodon,cf.,glutinosus,,,,,10272,1967,"United States",Georgia,34.2,-84.8,34.23,-84.59,Pleistocene,,"Cenozoic 6",Pleistocene,0.3,0.3,,
13066,PaleoDB,"M. Uhen",,Ambystoma,,tigrinum,,,,,10272,1967,"United States",Georgia,34.2,-84.8,34.23,-84.59,Pleistocene,,"Cenozoic 6",Pleistocene,0.3,0.3,,
13142,PaleoDB,"E. Fara",,Prodesmodon,,copei,,Cuttysarkus,,mcnallyi,4377,1965,"United States",Montana,47.8,-106.1,54.52,-78.40,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,69.4,69.3,"Hell Creek",
13142,PaleoDB,"E. Fara",,Habrosaurus,,dilatus,,,,,4377,1965,"United States",Montana,47.8,-106.1,54.52,-78.40,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,69.4,69.3,"Hell Creek",
