genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Ambystoma,alamosensis,0.2,0.2,3,0,NaN
Ambystoma,jeffersonianum,2.588,0.012,1,0,NaN
Ambystoma,maculatum,11.8,0.012,6,0,NaN
Ambystoma,maculotum,0.126,0.012,1,0,NaN
Ambystoma,minshalli,19.9,13.8,10,2,1.0000
Ambystoma,priscum,15.970,13.600,2,0,NaN
Ambystoma,sp.,15.970,0.012,10,2,0.8257
Ambystoma,tigrinum,11.8,0.012,60,6,0.6416
Ambystoma,tiheni,36.9,36.9,1,1,1.0000
Amphiuma,antica,15.970,13.600,1,0,NaN
Amphiuma,jepseni,57.7,57.7,1,1,0.3750
Amphiuma,means,0.126,0.012,2,0,NaN
Amphiuma,sp.,9.1,0.01235,4,0,NaN
Andrias,matthewi,20.0,13.600,6,0,NaN
Andrias,scheuchzeri,28.400,13.650,7,0,NaN
Apricosiren,ensomi,145.500,140.200,2,0,NaN
Apricosiren,sp.,145.500,140.200,1,0,NaN
Aviturus,exsecratus,58.700,55.800,1,0,NaN
Batrachosauroides,dissimulans,20.430,13.600,3,0,NaN
Batrachosauroides,gotoi,53.6,53.6,1,1,0.8000
Batrachosauroides,sp.,33.900,21.9,3,0,NaN
Beiyanerpeton,jianpingensis,161.200,155.700,1,1,1.0000
Bishara,backa,85.800,70.600,1,1,1.0000
Carpathotriton,sp.,12.700,11.608,1,0,NaN
Chelotriton,paradoxus,28.400,11.608,4,0,NaN
Chelotriton,pliocenicus,3.600,2.588,1,0,NaN
Chelotriton,robustus,28.400,23.030,1,0,NaN
Chelotriton,sp.,28.400,14.88,6,1,1.0000
Chelotriton,"sp. type I",11.100,9.700,1,0,NaN
Chelotriton,"sp. type II",11.100,9.700,1,0,NaN
Chioglossa,meini,28.400,23.030,1,0,NaN
Chrysotriton,tiheni,53.6,53.6,1,1,0.2000
Chunerpeton,tianyiensis,164.5,150.800,6,0,NaN
Comonecturoides,marshi,155.700,145.500,1,1,1.0000
Cryptobranchus,alleganiensis,0.126,0.012,2,0,NaN
Cryptobranchus,allegheniensis,0.126,0.000,1,0,NaN
Cryptobranchus,guildayi,0.9,0.8,2,0,NaN
Cryptobranchus,saskatchewanensis,58.0,58.0,1,0,NaN
Cryptobranchus,sp.,2.588,0.012,1,0,NaN
Desmognathus,fuscus,2.588,0.012,1,0,NaN
Desmognathus,monticola,2.588,0.012,1,0,NaN
Desmognathus,ochrophaeus,0.126,0.012,2,0,NaN
Desmognathus,sp.,23.030,0.012,3,0,NaN
Dicamptodon,antiquus,58.700,55.800,1,0,NaN
Eoscapherpeton,asiaticum,94.300,85.800,2,2,0.5774
Eoscapherpeton,"sp. b",85.800,84.900,1,0,NaN
Eoscapherpeton,superum,85.800,84.900,1,0,NaN
Eurycea,sp.,0.126,0.012,1,0,NaN
Galverpeton,ibericum,130.000,125.450,1,1,1.0000
Gyrinophilus,porphyriticus,0.9,0.8,2,0,NaN
Gyrinophilus,sp.,2.588,0.012,1,0,NaN
Habrosaurus,dilatus,75.5,61.700,40,29,0.2298
Habrosaurus,prodilatus,74.7,74.5,1,0,NaN
Habrosaurus,sp.,76.0,67.5,4,4,0.3433
Heteroclitotriton,zitteli,55.800,5.332,1,0,NaN
Horezmia,gracile,105.300,94.300,2,0,NaN
Hylaeobatrachus,croyii,130.000,122.460,1,0,NaN
Hylaeobatrachus,sp.,130.000,125.450,1,0,NaN
Iridotriton,hechti,155.700,150.800,1,1,1.0000
Jeholotriton,paradoxus,164.5,164.5,1,0,NaN
Kababisha,humarensis,99.700,94.300,1,1,0.2857
Kababisha,sp.,99.700,94.300,2,2,1.0000
Kababisha,sudanensis,99.700,94.300,1,1,0.7143
Karaurus,sharovi,161.200,150.800,1,0,NaN
Kiyatriton,leschinskiyi,136.400,125.450,1,0,NaN
Kiyatriton,leshchinskiyi,130.000,112.600,1,1,1.0000
Kiyatriton,sp.,125.450,99.700,1,0,NaN
Koalliella,sp.,58.700,55.800,1,0,NaN
Kokartus,honorarius,167.700,164.700,2,1,1.0000
Laccotriton,subsolanus,150.800,145.500,1,1,0.9091
Liaoxitriton,daohugouensis,164.5,164.5,1,1,1.0000
Liaoxitriton,zhongjiani,125.450,112.600,1,1,1.0000
Lisserpeton,atlantes,70.600,66.043,1,1,0.0909
Lisserpeton,bairdi,75.5,58.3,13,7,0.0449
Lisserpeton,sp.,70.600,66.043,2,1,1.0000
Lissotriton,rohrsi,11.100,9.700,4,0,NaN
Lissotriton,sp.,12.700,11.608,1,0,NaN
Marmorerpeton,freemani,167.700,164.700,1,1,0.0500
Marmorerpeton,kermacki,167.700,164.700,2,2,0.9747
Marmorerpeton,sp.,167.700,164.700,5,0,NaN
Megalotriton,filholi,55.800,5.332,1,0,NaN
Megalotriton,portisi,55.800,5.332,1,0,NaN
Megalotriton,sp.,37.200,28.400,4,0,NaN
Mertensiella,caucasica,11.100,9.700,1,0,NaN
Mioproteus,caucasicus,16.900,9.700,6,0,NaN
Necturus,krausei,58.0,58.0,1,0,NaN
Necturus,sp.,0.126,0.012,1,0,NaN
Nesovtriton,mynbulakensis,94.300,85.800,3,3,0.8736
Nezpercius,dodsoni,84.900,70.600,2,0,NaN
Noterpeton,bolivianum,70.600,66.043,1,1,1.0000
Notophthalmus,crassus,20.430,15.970,1,0,NaN
Notophthalmus,slaughteri,15.970,13.600,2,1,1.0000
Notophthalmus,sp.,9.1,0.012,4,0,NaN
Notophthalmus,viridescens,0.9,0.01346,5,0,NaN
Oligosemia,spinosa,11.100,8.700,1,0,NaN
Opisthotriton,gidleyi,63.300,61.700,1,1,1.0000
Opisthotriton,kayi,81.3,57.7,88,76,0.2232
Opisthotriton,sp.,80.5,55.800,16,9,0.3285
Palaeoproteus,gallicus,58.700,55.800,3,0,NaN
Palaeoproteus,klatti,48.600,40.400,1,0,NaN
Paleoamphiuma,tetradactylum,52.8,51.9,1,0,NaN
Pangerpeton,sinensis,161.200,145.500,1,0,NaN
Parahynobius,sp.,11.100,9.700,1,0,NaN
Paranecturus,garbanii,70.600,66.043,8,1,1.0000
Parrisia,neocesariensis,84.900,70.600,2,1,1.0000
Piceoerpeton,naylori,69.4,69.2,2,1,0.0098
Piceoerpeton,sp.,70.600,66.043,1,1,1.0000
Piceoerpeton,willwoodense,58.9,53.2,12,0,NaN
Plethodon,glutinosus,0.3,0.012,5,3,0.6608
Plethodon,gultinosus,0.9,0.8,1,0,NaN
Plethodon,sp.,23.030,2.588,1,0,NaN
Proamphiuma,cretacea,69.4,69.2,1,1,0.0098
Prodesmodon,copei,76.0,63.5,25,21,0.1005
Prodesmodon,sp.,70.600,66.043,1,0,NaN
Prosiren,elinorae,125.450,99.700,6,1,1.0000
Pseudobranchus,robustus,0.126,0.012,4,0,NaN
Pseudobranchus,vetustus,11.5,9.4,1,0,NaN
Pseudotriton,ruber,0.3,0.3,1,1,0.0233
Ramonellus,longispinus,145.500,112.600,1,0,NaN
Regalerpeton,weichangensis,130.000,112.600,1,0,NaN
Salamandra,opaca,0.9,0.8,3,0,NaN
Salamandra,salamandra,11.100,9.700,1,0,NaN
Salamandra,sansaniensis,40.400,11.608,7,2,1.0000
Salamandra,sp.,58.700,13.650,4,0,NaN
Salamandrina,sp.,23.030,9.700,2,0,NaN
