species	total occs	Bathonian	Callovian	Oxfordian	Kimmeridgian	Portlandian	Berriasian	Valanginian	Hauterivian	Barremian	Aptian	Albian	Cenomanian	Turonian	Coniacian	Santonian	Campanian	Maastrichtian	Danian	Thanetian	Ypresian	Lutetian	Bartonian	Priabonian	Rupelian	Chattian	Lower Miocene	Middle Miocene	Upper Miocene	Pliocene	Pleistocene
Salamandra sansaniensis sansaniensis	7																						1			1		5			
Megalotriton sp. sp.	4																							3	1						
Noterpeton bolivianum bolivianum	1																	1													
Pseudotriton ruber ruber	1																														1
Ambystoma tigrinum tigrinum	59																											1		1	57
Plethodon glutinosus glutinosus	5																														5
Habrosaurus dilatus dilatus	39																1	33	5												
Proamphiuma cretacea cretacea	1																	1													
Opisthotriton kayi kayi	88																51	30	5	2											
Piceoerpeton naylori naylori	2																	2													
Prodesmodon copei copei	25																5	19	1												
Scapherpeton tectum tectum	120																54	59	5	2											
Lisserpeton bairdi bairdi	13																1	8	3	1											
Palaeoproteus klatti klatti	1																					1									
Tylototriton weigelti weigelti	1																					1									
Prosiren elinorae elinorae	6										1	5																			
Habrosaurus sp. sp.	4																1	3													
Parrisia neocesariensis neocesariensis	2																2														
Habrosaurus prodilatus prodilatus	1																1														
Scapherpeton sp. sp.	21																8	11		2											
Opisthotriton sp. sp.	16																4	9		3											
Lisserpeton atlantes atlantes	1																	1													
Lisserpeton sp. sp.	2																	2													
Opisthotriton gidleyi gidleyi	1																		1												
Piceoerpeton willwoodense willwoodense	12																			10	2										
Cryptobranchus saskatchewanensis saskatchewanensis	1																			1											
Necturus krausei krausei	1																			1											
Amphiuma jepseni jepseni	1																			1											
Paleoamphiuma tetradactylum tetradactylum	1																				1										
Chrysotriton tiheni tiheni	1																				1										
Batrachosauroides gotoi gotoi	1																				1										
Ambystoma tiheni tiheni	1																							1							
Batrachosauroides sp. sp.	2																								1		1				
Taricha miocenica miocenica	1																									1					
Andrias matthewi matthewi	6																										4	2			
Ambystoma minshalli minshalli	10																										1	9			
Ambystoma priscum priscum	2																											2			
Siren sp. sp.	8																											2	1	1	4
Ambystoma sp. sp.	9																											2			7
Ambystoma maculatum maculatum	5																											1			4
Batrachosauroides dissimulans dissimulans	3																										1	2			
Pseudobranchus vetustus vetustus	1																												1		
Siren simpsoni simpsoni	1																												1		
